DateTime,AddedIPs,RemovedIPs
1612165492,20,14
1612172712,24,24
1612179896,20,9
1612187094,21,14
1612194313,20,13
1612201248,26,24
1612208928,24,23
1612216126,18,23
1612223324,17,27
1612230766,33,42
1612237967,55,29
1612245162,30,13
1612249496,9,0
1612255245,14,13
1612255994,1,0
1612256696,1,0
1612259568,17,9
1612266787,26,14
1612271325,7,0
1612275171,12,12
1612275883,1,0
1612280207,10,0
1612281652,15,0
1612282362,0,23
1612284538,1,0
1612288124,17,0
1612296053,23,26
1612303252,22,29
1612310458,20,57
1612317894,30,50
1612324860,53,31
1612332293,32,18
1612339496,21,0
1612346691,23,22
1612353894,15,16
1612361158,25,18
1612369003,17,37
1612376207,23,26
1612383458,30,0
1612390602,24,30
1612397805,26,20
1612405005,34,32
1612412204,56,61
1612419404,35,21
1612426603,21,20
1612433837,23,22
1612441015,22,14
1612448217,24,24
1612449886,2,18
1612455403,20,0
1612462606,32,21
1612470046,23,15
1612477242,20,41
1612485177,17,24
1612488044,5,37
1612493323,40,50
1612500523,60,19
1612507719,29,0
1612513481,17,21
1612520720,19,18
1612527884,25,19
1612535092,17,25
1612542281,28,14
1612549483,22,22
1612556697,32,7
1612563881,27,57
1612571081,21,26
1612578281,28,45
1612585486,59,46
1612593432,33,20
1612600608,19,24
1612607845,26,13
1612615004,27,22
1612622204,22,21
1612629404,13,12
1612636337,22,0
1612643563,27,32
1612648822,23,62
1612651687,12,0
1612658918,14,107
1612666084,36,38
1612673527,62,27
1612680724,25,37
1612687927,24,0
1612695370,15,49
1612702598,27,24
1612709322,18,30
1612716771,22,23
1612718924,3,0
1612723989,28,21
1612731162,11,18
1612738377,19,27
1612745565,16,30
1612752793,43,54
1612760696,57,31
1612767890,32,20
1612775093,19,29
1612782291,14,16
1612789488,22,14
1612796449,23,14
1612803649,32,25
1612811563,27,22
1612818521,27,28
1612825428,23,22
1612832572,25,54
1612833181,2,0
1612836522,11,0
1612838204,14,0
1612839786,8,55
1612842340,25,0
1612845162,33,0
1612845883,5,0
1612846600,0,24
1612852361,33,0
1612853086,3,0
1612860520,19,21
1612867967,18,27
1612874686,24,0
1612882601,26,45
1612889327,32,0
1612896858,30,18
1612903686,25,0
1612911403,25,47
1612918624,29,30
1612925800,56,55
1612932726,47,43
1612939926,35,27
1612947128,26,18
1612954333,25,16
1612961770,34,8
1612969249,25,1
1612976694,19,32
1612983896,43,10
1612990609,26,29
1612998294,23,39
1613005459,32,29
1613012890,54,48
1613020090,58,49
1613027288,14,27
1613034508,19,12
1613041692,27,21
1613048887,26,23
1613056360,19,23
1613063802,32,15
1613071001,28,29
1613078204,27,31
1613085426,26,28
1613092600,21,35
1613094044,5,0
1613094767,0,65
1613098362,31,0
1613101244,23,0
1613103407,0,35
1613107722,29,0
1613112284,19,18
1613116332,6,0
1613118014,0,19
1613122330,14,0
1613123292,17,0
1613124085,1,21
1613126892,15,0
1613129768,17,0
1613132649,0,21
1613135790,24,0
1613136487,2,0
1613137214,6,0
1613142526,23,0
1613143969,5,0
1613144717,1,12
1613146125,0,12
1613147576,7,0
1613152125,19,16
1613152928,2,0
1613155724,0,4
1613157884,4,9
1613158608,17,0
1613159567,15,0
1613161020,12,0
1613162446,1,12
1613166771,6,21
1613167497,1,0
1613168202,11,22
1613173241,13,0
1613175405,16,31
1613181164,32,0
1613188387,63,65
