DateTime,AddedIPs,RemovedIPs
1613147576,99,48
1613149007,48,99
1613149971,99,48
1613150683,48,99
1613151408,99,48
1613152125,120,106
1613152928,53,64
1613153562,64,53
1613155006,53,64
1613155724,64,53
1613156459,53,64
1613157212,64,53
1613157884,41,56
1613158608,105,68
1613159567,78,57
1613160296,45,69
1613161020,91,76
1613161724,76,91
1613162446,77,64
1613163163,39,28
1613166771,95,88
1613167497,15,27
1613168202,67,53
1613169643,65,67
1613171092,67,65
1613173241,87,105
1613175405,54,55
1613181164,120,131
1613188387,155,144
1613196288,104,113
1613203494,109,82
1613210932,112,106
1613217401,131,96
1613224602,126,108
1613231820,125,125
1613236125,37,37
1613236842,37,37
1613238999,146,122
1613239961,17,15
1613243563,15,17
1613244284,17,15
1613246448,120,115
1613253682,123,134
1613261091,108,143
1613268526,120,112
1613275725,149,146
1613282923,119,107
1613290127,116,91
1613297326,127,95
1613304525,113,98
1613311966,105,97
1613319165,139,101
1613326369,115,107
1613327811,57,76
1613328534,76,57
1613333563,106,115
1613340763,118,125
1613347964,114,116
1613355161,108,121
1613363083,125,146
1613370286,98,111
1613377482,107,92
1613384685,108,104
1613391972,125,112
1613399085,111,119
1613401961,27,30
1613402684,30,27
1613406282,108,89
1613413245,129,102
1613418284,31,38
1613419721,38,31
1613420438,101,108
1613427644,112,139
1613435083,116,127
1613442281,101,108
1613449721,136,138
1613456684,98,104
1613464103,108,86
1613471285,116,75
1613478522,105,88
1613479972,30,21
1613481445,21,30
1613482122,30,21
1613482847,21,30
1613485722,121,110
1613487892,36,35
1613488602,35,36
1613489328,36,35
1613490045,35,36
1613490767,36,35
1613492204,35,36
1613492962,113,117
1613493646,31,29
1613495096,29,31
1613497244,31,29
1613497965,29,31
1613498695,31,29
1613499410,29,31
1613500126,31,29
1613500844,110,116
1613501579,25,33
1613503016,33,25
1613503966,25,33
1613507052,122,125
1613507767,118,107
1613508488,115,119
1613510649,30,29
1613513565,29,30
1613515026,110,110
1613522444,95,127
1613523164,25,28
1613525107,28,25
1613529405,103,111
1613536865,108,133
1613544048,106,99
1613546924,32,31
1613549804,31,32
1613551411,100,72
1613553645,63,58
1613554393,58,63
1613558703,111,86
1613565170,52,46
1613565901,92,70
1613570209,54,56
1613571885,56,54
1613572607,110,96
1613578365,45,55
1613579082,55,45
1613579804,45,55
1613580520,106,66
1613582687,33,56
1613583403,56,33
1613584210,33,56
1613584851,56,33
1613585565,33,56
1613586281,56,33
1613587022,33,56
1613587721,76,106
1613590604,65,56
1613592786,56,65
1613594204,123,115
1613594924,94,93
1613595651,93,94
1613597803,52,47
1613598547,47,52
1613602123,104,109
1613609320,84,121
1613616523,126,135
1613623724,139,114
1613630686,99,87
1613638129,91,70
1613645049,98,76
1613652725,101,83
1613658488,110,90
1613659926,31,25
1613666682,104,109
1613667901,82,88
1613668599,88,82
1613669319,45,68
1613670040,68,45
1613671492,28,42
1613672938,121,118
1613674370,18,23
1613675092,46,27
1613676524,39,53
1613677962,18,23
1613679400,46,27
1613681080,117,132
1613681833,55,40
1613682522,40,55
1613683240,55,40
1613683962,40,55
1613686125,55,40
1613687083,109,111
1613687801,98,111
1613688555,123,133
1613689260,59,36
1613689962,36,59
1613693799,59,36
1613694520,88,148
1613695247,118,81
1613695967,85,134
1613696696,42,30
1613697408,30,42
1613698145,42,30
1613699452,30,42
1613700094,42,30
1613700771,30,42
1613702212,93,97
1613702930,53,40
1613704330,40,53
1613705048,53,40
1613706486,40,53
1613707926,53,40
1613708649,108,91
1613712969,34,45
