DateTime,Entries,UniqueIPs
1613570982,1787,1787
1613572485,1793,1793
1613576082,1789,1789
1613579110,1791,1791
1613580462,1778,1778
1613583288,1777,1777
1613584677,1779,1779
1613586095,1783,1783
1613586880,1782,1782
1613589944,1835,1835
1613591445,1875,1875
1613592929,1885,1885
1613594079,1889,1889
1613595279,1887,1887
1613596428,1877,1877
1613597713,1918,1918
1613598977,1966,1966
1613600083,1991,1991
1613601368,2007,2007
1613602792,2007,2007
1613604187,2013,2013
1613604888,2008,2008
1613606988,2006,2006
1613608486,1997,1997
1613611551,2003,2003
1613612087,1997,1997
1613615147,1978,1978
1613615679,1967,1967
1613617854,1969,1969
1613619296,1971,1971
1613621835,1965,1965
1613622892,1965,1965
1613625944,1980,1980
1613627445,1969,1969
1613629548,1955,1955
1613630083,1949,1949
1613631804,1940,1940
1613633684,1928,1928
1613635823,1938,1938
1613637284,1937,1937
1613639483,1939,1939
1613640836,1932,1932
1613643642,1914,1914
1613645446,1908,1908
1613646926,1908,1908
1613648086,1905,1905
1613650356,1901,1901
1613651688,1894,1894
1613655285,1891,1891
1613658885,1898,1898
1613660256,1903,1903
1613661446,1905,1905
1613662487,1902,1902
1613664284,1891,1891
1613666086,1882,1882
1613667290,1876,1876
1613668989,1884,1884
1613670326,1871,1871
1613673282,1870,1870
1613675497,1883,1883
1613676883,1891,1891
1613678027,1890,1890
1613679685,1888,1888
1613680484,1891,1891
1613682522,1885,1885
1613684088,1888,1888
1613687154,1921,1921
1613688578,1937,1937
1613690715,1938,1938
1613691288,1931,1931
1613692776,1936,1936
1613694348,1943,1943
1613694886,1939,1939
1613697949,1935,1935
1613698491,1925,1925
1613699876,1924,1924
1613702086,1905,1905
1613703307,1905,1905
1613705156,1898,1898
1613706335,1874,1874
1613708750,1853,1853
1613710253,1833,1833
1613711669,1818,1818
1613712871,1808,1808
1613714399,1803,1803
1613715522,1810,1810
1613716485,1802,1802
1613717785,1802,1802
1613719542,1797,1797
1613721139,1784,1784
1613723683,1764,1764
1613726003,1749,1749
1613727284,1747,1747
1613730345,1743,1743
1613731551,1741,1741
1613732920,1739,1739
1613734489,1732,1732
1613736280,1719,1719
1613738072,1738,1738
1613740084,1759,1759
1613742295,1753,1753
1613744062,1755,1755
1613745283,1751,1751
1613746651,1752,1752
1613748344,1745,1745
1613748884,1733,1733
1613751604,1734,1734
1613752486,1731,1731
1613754205,1729,1729
1613756086,1762,1762
1613757815,1770,1770
1613759684,1748,1748
1613760985,1722,1722
1613762744,1708,1708
1613763282,1701,1701
1613764573,1704,1704
1613766882,1689,1689
1613768727,1648,1648
1613770493,1624,1624
1613771607,1619,1619
1613774082,1620,1620
1613775466,1625,1625
1613777689,1685,1685
1613780746,1703,1703
1613782248,1704,1704
1613784345,1706,1706
1613786631,1699,1699
1613788486,1692,1692
1613789605,1691,1691
1613791546,1699,1699
1613792082,1691,1691
1613794193,1688,1688
1613795690,1678,1678
1613797639,1704,1704
1613798749,1715,1715
1613802344,1740,1740
1613802885,1738,1738
1613804077,1740,1740
1613805517,1725,1725
1613806483,1714,1714
1613808408,1691,1691
1613809544,1701,1701
1613811044,1716,1716
1613813142,1726,1726
1613814641,1727,1727
1613817279,1725,1725
1613818430,1733,1733
1613820197,1748,1748
1613820883,1739,1739
1613822626,1738,1738
1613824481,1739,1739
1613826572,1733,1733
1613828034,1732,1732
1613829423,1740,1740
1613831148,1736,1736
1613832649,1727,1727
1613833899,1721,1721
1613836757,1716,1716
1613838097,1727,1727
1613838887,1720,1720
1613840213,1719,1719
1613841944,1712,1712
1613843448,1702,1702
1613845016,1692,1692
1613846083,1681,1681
1613848380,1684,1684
1613849682,1675,1675
1613853283,1661,1661
1613855639,1667,1667
1613856886,1618,1618
1613858778,1599,1599
1613860477,1603,1603
1613862889,1631,1631
1613864090,1649,1649
1613865209,1664,1664
1613867148,1682,1682
1613867687,1677,1677
1613870133,1671,1671
1613871280,1674,1674
1613874348,1677,1677
1613875664,1676,1676
1613877178,1667,1667
1613878487,1673,1673
1613881549,1761,1761
1613883050,1752,1752
1613884709,1750,1750
1613885685,1743,1743
1613886888,1745,1745
1613888249,1769,1769
1613889284,1788,1788
1613892078,1812,1812
1613892884,1806,1806
1613894988,1797,1797
1613896484,1789,1789
1613898702,1795,1795
1613900105,1795,1795
1613902952,1797,1797
1613904071,1795,1795
1613906539,1804,1804
1613907284,1794,1794
1613912211,1802,1802
1613913782,1836,1836
1613914486,1832,1832
1613917544,1834,1834
1613918984,1841,1841
1613920673,1850,1850
1613921678,1855,1855
1613923057,1872,1872
1613924740,1874,1874
1613925284,1856,1856
1613927052,1841,1841
1613928881,1849,1849
1613930589,1847,1847
1613932481,1844,1844
1613935559,1855,1855
1613937045,1835,1835
1613939182,1830,1830
1613940825,1833,1833
1613942753,1830,1830
1613943287,1819,1819
1613944578,1816,1816
1613946345,1816,1816
1613946879,1759,1759
1613948390,1740,1740
1613950484,1734,1734
1613953546,1740,1740
1613954084,1740,1740
1613957686,1734,1734
1613960400,1728,1728
1613962000,1724,1724
1613964049,1726,1726
1613964885,1720,1720
