DateTime,AddedIPs,RemovedIPs
1613604844,29,68
1613606949,82,80
1613608445,51,68
1613611508,137,78
1613612043,25,66
1613615107,118,108
1613615644,32,80
1613617808,93,75
1613619247,61,73
1613621773,119,68
1613622845,42,50
1613625904,121,70
1613627403,51,129
1613629504,97,107
1613630045,25,173
1613631740,71,218
1613633644,105,160
1613635775,103,132
1613637244,62,97
1613639411,86,103
1613640796,48,93
1613643597,129,116
1613645403,84,140
1613646851,69,58
1613648043,86,275
1613650309,106,135
1613651644,76,101
1613655243,173,167
1613658845,133,363
1613660216,47,217
1613661387,50,489
1613662445,42,155
1613664252,64,118
1613666045,73,126
1613667255,48,30
1613668923,65,57
1613670255,43,125
1613672706,101,48
1613673244,24,136
1613675459,97,73
1613676843,81,73
1613677990,49,21
1613679644,44,38
1613680445,44,72
1613682454,79,82
1613684046,57,62
1613685732,64,88
1613687114,90,0
1613688511,82,119
1613691244,99,121
1613692343,34,28
1613694304,75,84
1613694844,13,74
1613697904,105,81
1613698443,13,154
1613699835,55,88
1613702045,85,148
1613703247,49,71
1613705105,73,98
1613706281,49,152
1613708704,93,67
1613710205,59,509
1613711622,52,75
1613712844,0,20490
1613714335,20512,0
1613715486,51,7
1613716443,33,69
1613717758,53,28
1613719504,73,63
1613721093,73,148
1613723644,106,149
1613725962,98,100
1613727244,54,74
1613730304,140,87
1613731500,66,87
1613732880,62,45
1613734446,76,65
1613736215,78,82
1613738047,77,78
1613740045,98,61
1613742258,75,86
1613744026,55,41
1613745243,33,71
1613746609,45,22
1613748305,53,59
1613748843,15,77
1613750373,48,57
1613751569,47,12
1613752444,36,54
1613754141,56,81
1613756043,90,73
1613757774,99,78
1613759644,65,95
1613760943,41,56
1613762704,71,66
1613763245,14,67
1613764537,54,23
1613766304,48,50
1613766844,17,88
1613768669,69,114
1613770445,64,93
1613771562,36,30
1613774044,82,118
1613775429,48,33
1613777644,125,113
1613780706,103,80
1613782207,63,101
1613784307,57,65
1613786353,76,162
1613788444,56,89
1613789563,43,26
1613791503,48,41
1613792043,8,104
1613794144,60,94
1613795644,41,128
1613797593,76,53
1613798704,35,0
1613800795,85,182
1613802846,85,100
1613804042,54,36
1613805467,92,72
1613806443,44,91
1613808367,85,110
1613809504,37,0
1613811003,60,99
1613812098,31,62
1613813399,52,75
1613814604,55,26
1613817243,126,180
1613818392,44,39
1613820150,55,57
1613820843,23,70
1613822555,58,76
1613824444,61,83
1613826532,67,95
1613827974,52,122
1613829376,48,135
1613831109,52,85
1613832606,64,111
1613833838,37,47
1613836661,81,115
1613838054,48,49
1613838843,37,65
1613840178,49,26
1613841904,64,51
1613843407,56,84
1613844961,53,57
1613846045,25,84
1613848346,77,78
1613849643,41,70
1613851224,0,19225
1613852704,19231,0
1613853243,15,92
1613855595,108,82
1613856844,40,117
1613858727,65,106
1613860443,58,67
1613862849,103,60
1613864044,41,79
1613865166,43,25
1613867103,65,40
1613867644,16,66
1613869462,64,57
1613871244,206,75
1613874303,126,80
1613876441,0,19235
1613877905,19174,0
1613878443,12,75
1613881504,248,80
1613883005,38,112
1613884653,57,112
1613885646,29,80
1613886848,44,27
1613888210,69,56
1613889243,50,92
1613892031,112,86
1613892844,43,72
1613894941,72,101
1613896443,119,88
1613898659,89,74
1613900063,44,90
1613901888,69,107
1613903067,41,0
1613904603,69,118
1613906496,68,62
1613907243,26,83
1613910844,119,156
1613912169,53,23
1613913748,96,45
1613914443,35,65
1613917503,97,61
1613918948,61,76
1613920631,59,46
1613921643,30,60
1613923018,49,26
1613924703,79,40
1613925244,24,77
1613927009,69,96
1613928843,70,80
1613930522,50,76
1613932444,94,76
1613935496,130,61
1613937007,56,105
1613939139,67,52
1613940789,52,85
1613942704,92,42
1613943244,15,61
1613944541,34,17
1613946307,76,53
1613946844,20,110
1613948280,49,23
1613950444,67,111
1613953506,108,82
1613954043,26,51
1613957644,137,127
1613960362,98,61
1613961954,55,62
1613964006,87,46
1613964843,47,55
1613969404,201,117
1613970545,45,66
1613972044,65,76
1613973198,35,24
1613974411,67,47
1613975588,49,109
1613978275,110,96
1613979243,38,71
1613980388,55,0
1613982875,152,140
1613984095,68,2
1613985454,55,82
1613986443,40,77
1613987668,56,33
1613990817,131,104
1613992587,69,76
1613993643,45,57
1613994811,40,0
1613996705,74,71
1613997243,30,63
1613999701,87,65
1614001804,79,87
1614003730,57,36
1614004444,32,56
1614008044,136,123
1614009275,53,20
1614011111,72,45
1614011644,25,51
1614015243,130,118
1614017419,79,50
1614019532,84,68
1614022446,122,92
1614025377,124,89
1614026045,14,49
1614029105,307,78
1614030603,54,84
1614033243,83,118
1614035637,79,87
1614037030,52,60
1614038268,62,22
1614039906,56,40
1614041405,59,267
1614044043,98,137
1614046425,93,51
1614047643,48,59
1614050704,153,311
1614051244,18,84
1614053745,97,64
1614054845,47,56
1614057689,145,65
1614058831,60,128
1614061219,171,65
1614062044,49,74
1614065643,284,205
1614069244,292,125
1614070431,101,24
1614072156,109,48
1614072843,39,63
1614074038,93,33
1614075239,81,54
1614077274,126,88
1614078896,125,49
1614079988,63,72
1614081336,89,15
1614083104,123,61
1614083648,48,139
1614085526,140,75
1614087243,149,64
1614088405,91,30
1614090306,135,61
1614090843,51,67
1614091981,106,24
1614093208,88,48
1614094443,111,94
1614096005,0,20097
1614097504,20269,0
1614098758,97,105
1614100434,116,34
1614101643,86,80
1614103343,127,94
1614105243,145,69
1614108843,248,132
1614110891,126,64
1614112445,100,73
1614113624,63,18
1614114894,91,48
1614116223,85,73
1614118815,170,68
1614119647,51,60
1614121174,98,80
1614122704,89,10
1614123244,31,72
1614124365,62,29
1614126303,115,40
1614126844,20,85
1614129805,126,91
1614131073,64,94
1614132554,66,50
1614134044,52,82
1614136800,140,81
1614137643,36,69
1614138768,50,42
1614141244,147,122
1614142945,86,77
1614144845,104,82
1614146341,83,96
1614148444,108,77
1614149755,70,36
1614151306,66,54
1614152044,44,122
1614153229,71,40
1614155108,111,69
1614156345,117,80
1614157462,69,57
1614159245,86,77
1614162843,300,150
1614163993,92,38
1614165188,79,52
1614166444,157,70
1614169508,281,83
1614170043,41,80
1614171160,90,22
1614172800,91,36
1614173644,60,73
1614175483,150,66
1614176583,61,0
1614178282,109,98
1614179732,71,52
1614180843,61,69
1614182067,47,29
1614183286,39,41
1614184445,52,56
1614185757,65,33
1614187503,74,41
1614188043,29,68
1614189833,76,97
