DateTime,Entries,UniqueIPs
1613565273,1285,1285
1613567161,1299,1299
1613569840,1302,1302
1613570965,1293,1293
1613572475,1296,1296
1613574462,1303,1303
1613576073,1307,1307
1613579095,1305,1305
1613580417,1309,1309
1613583278,1308,1308
1613584668,1315,1315
1613586084,1327,1327
1613586871,1316,1316
1613589935,1314,1314
1613591437,1316,1316
1613594069,1312,1312
1613595267,1312,1312
1613596419,1315,1315
1613597683,1305,1305
1613598961,1291,1291
1613600075,1281,1281
1613601331,1277,1277
1613602770,1270,1270
1613604177,1268,1268
1613604879,1262,1262
1613606979,1270,1270
1613608476,1270,1270
1613611536,1266,1266
1613612078,1262,1262
1613615137,1278,1278
1613617846,1287,1287
1613619284,1280,1280
1613621815,1281,1281
1613622882,1274,1274
1613625935,1284,1284
1613627437,1283,1283
1613629540,1286,1286
1613630074,1289,1289
1613631768,1282,1282
1613633675,1287,1287
1613635802,1279,1279
1613637274,1273,1273
1613639466,1264,1264
1613640825,1261,1261
1613643633,1273,1273
1613645437,1274,1274
1613646907,1283,1283
1613648076,1283,1283
1613650338,1293,1293
1613651679,1272,1272
1613655275,1290,1290
1613658876,1298,1298
1613660247,1283,1283
1613661429,1293,1293
1613662477,1292,1292
1613665535,1305,1305
1613666077,1294,1294
1613667282,1300,1300
1613668975,1298,1298
1613670309,1289,1289
1613672736,1284,1284
1613673273,1283,1283
1613675489,1288,1288
1613676873,1285,1285
1613678018,1292,1292
1613679671,1290,1290
1613680476,1279,1279
1613682509,1286,1286
1613684077,1275,1275
1613685766,1267,1267
1613687146,1277,1277
1613688561,1274,1274
1613691276,1266,1266
1613692753,1262,1262
1613694337,1262,1262
1613694878,1259,1259
1613697939,1271,1271
1613698479,1262,1262
1613699867,1260,1260
1613702076,1263,1263
1613703295,1271,1271
1613705144,1272,1272
1613706313,1267,1267
1613708741,1282,1282
1613710241,1290,1290
1613711655,1292,1292
1613712861,1292,1292
1613714378,1296,1296
1613715514,1295,1295
1613716476,1291,1291
1613717777,1291,1291
1613719534,1295,1295
1613721120,1288,1288
1613723674,1300,1300
1613725989,1301,1301
1613727274,1298,1298
1613730336,1302,1302
1613731535,1294,1294
1613732912,1292,1292
1613734479,1294,1294
1613736265,1303,1303
1613740071,1303,1303
1613742286,1309,1309
1613744053,1311,1311
1613745273,1297,1297
1613746642,1297,1297
1613748335,1301,1301
1613748875,1292,1292
1613752477,1293,1293
1613754169,1288,1288
1613756078,1273,1273
1613757807,1269,1269
1613759675,1262,1262
1613760972,1260,1260
1613762736,1258,1258
1613763276,1245,1245
1613764564,1255,1255
1613766346,1257,1257
1613766872,1245,1245
1613768698,1243,1243
1613770484,1247,1247
1613771591,1250,1250
1613774073,1249,1249
1613775457,1250,1250
1613777678,1261,1261
1613780737,1276,1276
1613782238,1276,1276
1613784337,1278,1278
1613786387,1270,1270
1613788476,1272,1272
1613789592,1276,1276
1613791536,1279,1279
1613792073,1275,1275
1613794183,1268,1268
1613795680,1265,1265
1613797623,1269,1269
1613798739,1277,1277
1613802336,1266,1266
1613802876,1257,1257
1613804069,1261,1261
1613805506,1271,1271
1613806473,1267,1267
1613808399,1272,1272
1613809536,1281,1281
1613811034,1266,1266
1613813133,1271,1271
1613814632,1273,1273
1613817270,1263,1263
1613818422,1264,1264
1613820181,1256,1256
1613820875,1250,1250
1613822604,1256,1256
1613824472,1256,1256
1613826564,1248,1248
1613828014,1226,1226
1613829409,1192,1192
1613831139,1189,1189
1613832640,1186,1186
1613833884,1186,1186
1613836735,1177,1177
1613838086,1181,1181
1613838878,1176,1176
