DateTime,AddedIPs,RemovedIPs
1613580398,28,129
1613583259,81,62
1613584653,36,11
1613586068,56,40
1613586858,19,46
1613589919,57,53
1613591422,38,60
1613592889,33,38
1613594057,29,56
1613595248,31,24
1613596403,28,33
1613597660,39,51
1613598948,44,21
1613600058,35,26
1613601281,28,32
1613604162,87,47
1613604862,16,48
1613606966,59,60
1613608463,42,45
1613611523,106,45
1613612059,25,50
1613615123,96,82
1613615661,29,54
1613617828,66,61
1613619266,48,52
1613621788,98,50
1613622863,28,38
1613625920,86,52
1613627419,37,85
1613629520,79,87
1613630061,17,152
1613631754,55,195
1613633661,73,114
1613635789,74,100
1613637259,42,68
1613639440,60,74
1613640812,39,62
1613643612,92,74
1613645419,56,101
1613646883,37,34
1613648061,49,253
1613650323,65,97
1613651661,40,83
1613655259,118,134
1613658862,84,310
1613660229,29,210
1613661403,32,487
1613662462,25,128
1613665520,75,84
1613666063,22,90
1613667269,30,15
1613668951,35,28
1613670284,26,79
1613672722,73,32
1613673259,14,103
1613675473,67,60
1613676859,61,57
1613678005,33,15
1613679658,37,28
1613680461,30,45
1613682483,47,60
1613684064,46,37
1613685748,46,58
1613687130,33,6
1613688538,44,93
1613691261,71,90
1613692681,31,18
1613694321,49,74
1613694861,8,43
1613697921,72,60
1613698461,9,126
1613699854,40,77
1613702061,67,96
1613703264,35,67
1613705124,57,106
1613706296,42,104
1613708723,67,49
1613710224,42,478
1613711637,37,74
1613714352,155,116
1613715501,49,7
1613716462,27,37
1613719519,95,80
1613721108,56,95
1613723660,73,93
1613725976,73,58
1613727260,36,35
1613730319,102,62
1613731516,50,55
1613732894,49,27
1613734463,57,38
1613736236,59,56
1613740058,106,117
1613742273,57,57
1613744040,37,40
1613745259,23,44
1613746624,36,13
1613748322,36,35
1613748859,12,39
1613750409,30,33
1613751584,28,8
1613752459,25,33
1613754156,40,54
1613756060,45,46
1613757790,61,33
1613759660,52,52
1613760957,31,16
1613762720,48,28
1613763262,12,33
1613764551,34,21
1613766329,24,39
1613766859,11,44
1613768683,40,52
1613770461,50,57
1613771578,25,20
1613774059,57,88
1613775444,25,19
1613777660,34,91
1613780723,56,60
1613782223,31,73
1613784322,41,55
1613786370,43,121
1613788462,34,66
1613789577,30,23
1613791520,31,35
1613792059,5,78
1613794165,41,66
1613795664,22,99
1613797609,36,42
1613798720,19,5
1613800826,56,133
1613802861,44,79
1613804056,30,22
1613805482,71,51
1613806460,29,59
1613808384,60,83
1613809519,20,4
1613811017,34,69
1613813117,40,45
1613814618,38,70
1613817257,87,132
1613818406,32,25
1613820164,30,39
1613820860,16,39
1613822569,32,50
1613824459,35,58
1613826547,41,48
1613827988,32,42
1613829391,24,25
1613831125,36,40
1613832625,42,79
1613833858,21,30
1613836676,50,62
1613838070,30,37
1613838859,24,33
1613840191,32,25
1613841918,37,30
1613843423,30,55
1613844977,24,32
1613846060,25,61
1613848360,47,58
1613849659,27,47
1613852720,64,67
1613853259,13,69
1613855611,73,59
1613856860,21,52
1613858743,40,60
1613862865,102,88
1613864062,23,59
1613865181,22,17
1613867122,43,41
1613867661,10,41
1613869477,46,33
1613871258,58,913
1613874321,162,57
1613877923,148,113
1613878461,23,60
1613881519,226,58
1613883022,59,73
1613884669,49,93
1613885663,34,63
1613886864,50,18
1613888223,53,40
1613889258,28,74
1613892045,109,63
1613892860,30,39
1613894955,74,77
1613896458,110,58
1613898673,68,59
1613900079,51,68
1613902923,90,85
1613904043,48,89
1613906510,70,53
1613907257,21,48
1613910860,91,104
1613912184,39,17
1613913761,41,26
1613914460,25,40
1613917519,72,48
1613918963,43,54
1613920646,34,31
1613921656,20,40
1613923032,28,21
1613924718,48,29
1613925260,26,43
1613927028,43,44
1613928857,42,55
1613930539,36,54
1613932459,63,47
1613935523,89,46
1613937022,43,57
1613939154,57,27
1613940803,26,57
1613942722,67,34
1613943259,12,40
1613944555,25,12
1613946322,55,40
1613946859,15,37
1613948294,36,10
1613950460,46,71
1613953521,73,71
1613954059,19,37
1613957660,105,77
1613960379,72,47
1613961969,36,39
1613964023,60,34
1613964859,40,30
1613969420,141,77
1613970563,33,41
1613972060,51,46
1613973212,28,12
1613974424,46,31
1613975616,29,84
1613978305,70,100
1613979259,39,55
1613980414,45,2
1613982889,121,88
1613984110,52,15
1613985469,37,66
1613986457,26,58
1613987683,36,23
1613992615,141,118
1613993659,29,33
1613994837,23,0
1613996719,44,43
1613997260,13,37
1613999715,43,39
1614001819,48,59
1614003745,32,52
1614004460,22,33
1614011128,169,118
1614011661,12,31
1614015257,93,56
1614017448,47,33
1614019552,50,47
1614022461,64,66
1614025391,74,55
1614026063,10,30
1614029123,82,88
1614030619,37,52
1614033258,67,52
1614035654,58,49
1614037046,35,36
1614038284,31,16
1614039924,36,25
1614041421,40,67
1614044060,63,74
1614046443,71,65
1614047658,39,39
1614050722,124,172
1614051260,13,36
1614053764,72,46
1614054861,33,26
1614057706,75,76
1614058845,29,61
1614061234,88,46
1614062059,25,40
1614065660,171,138
1614069259,161,85
1614070445,45,16
1614072169,59,40
1614072860,15,33
1614074052,51,25
1614075253,31,28
1614077289,48,59
1614078911,64,25
1614080077,29,46
1614081350,43,10
1614083119,38,37
1614083665,23,50
1614085540,40,56
1614087260,46,34
1614088418,28,18
1614090322,35,31
1614090858,26,30
1614092008,36,10
1614093237,28,28
1614094457,27,48
1614096030,41,42
1614097518,26,1
1614098774,27,50
1614100449,34,26
1614101661,17,57
1614103362,42,58
1614105258,46,43
1614108860,75,98
1614110905,43,44
1614112460,30,58
1614113639,29,21
1614114910,35,34
1614116241,40,49
1614118829,68,50
1614119664,19,34
1614121193,36,46
1614122722,34,9
1614123260,11,42
1614124380,19,24
1614126317,50,43
1614126860,11,49
1614129820,72,61
1614131089,41,62
1614132569,32,37
1614134060,28,58
1614136816,78,53
1614137663,19,45
1614138783,28,32
1614141263,71,82
1614142962,49,47
1614144862,57,53
1614146359,50,70
1614148462,67,53
1614149768,43,28
1614151321,34,36
1614152061,29,102
1614153243,27,33
1614155123,50,50
1614156360,82,44
1614157487,44,36
1614159260,56,52
1614162860,221,94
1614164006,70,21
1614165203,55,35
1614166460,73,184
1614169523,191,597
1614170059,36,38
1614171175,102,13
1614172814,94,24
1614173658,41,35
1614175499,133,37
1614176718,69,0
1614178310,86,57
1614179746,71,33
1614180858,61,48
1614182080,48,14
1614183305,43,23
1614184462,61,34
1614185771,64,26
1614187518,67,30
1614188060,23,39
1614189851,61,51
1614191660,66,43
1614194354,94,39
1614195260,53,45
1614196584,47,16
1614198320,44,40
1614198859,15,39
1614201271,72,43
1614202460,39,45
1614203582,29,19
1614206059,85,79
1614207964,54,53
1614209661,58,44
1614213261,113,84
1614216252,85,53
1614216862,23,42
1614220459,102,134
1614221627,40,19
1614223520,55,45
1614224777,35,77
1614227661,121,74
1614231260,112,100
1614232564,38,36
1614234121,42,75
1614234859,16,83
1614237627,94,58
1614238459,27,93
1614240107,57,70
1614241242,41,14
1614243021,51,70
1614245121,75,57
1614245657,18,47
1614248275,73,81
1614249260,35,60
1614250425,39,15
1614252319,57,39
1614252858,16,47
1614255249,72,53
1614257423,65,61
1614258797,41,29
1614260057,38,34
1614262412,40,75
1614263659,32,37
1614265743,41,92
1614267263,47,36
1614270319,54,27
1614271821,27,37
1614273508,28,33
1614274461,18,37
1614275668,25,17
1614277520,40,28
1614280661,69,83
1614281657,23,31
1614284273,63,52
1614285260,17,35
1614288320,68,49
1614288860,16,41
1614289970,24,17
1614291918,45,37
1614292469,13,39
