DateTime,Entries,UniqueIPs
1613580398,18825,18825
1613583259,18844,18844
1613584653,18869,18869
1613586068,18885,18885
1613586858,18858,18858
1613589919,18862,18862
1613591422,18840,18840
1613592889,18835,18835
1613594057,18808,18808
1613595248,18815,18815
1613596403,18810,18810
1613597660,18798,18798
1613598948,18821,18821
1613600058,18830,18830
1613601281,18826,18826
1613604162,18866,18866
1613604862,18834,18834
1613606966,18833,18833
1613608463,18830,18830
1613611523,18891,18891
1613612059,18866,18866
1613615123,18880,18880
1613615661,18855,18855
1613617828,18860,18860
1613619266,18856,18856
1613621788,18904,18904
1613622863,18894,18894
1613625920,18928,18928
1613627419,18880,18880
1613629520,18872,18872
1613630061,18737,18737
1613631754,18597,18597
1613633661,18556,18556
1613635789,18530,18530
1613637259,18504,18504
1613639440,18490,18490
1613640812,18467,18467
1613643612,18485,18485
1613645419,18440,18440
1613646883,18443,18443
1613648061,18239,18239
1613650323,18207,18207
1613651661,18164,18164
1613655259,18148,18148
1613658862,17922,17922
1613660229,17741,17741
1613661403,17286,17286
1613662462,17183,17183
1613665520,17174,17174
1613666063,17106,17106
1613667269,17121,17121
1613668951,17128,17128
1613670284,17075,17075
1613672722,17116,17116
1613673259,17027,17027
1613675473,17034,17034
1613676859,17038,17038
1613678005,17056,17056
1613679658,17065,17065
1613680461,17050,17050
1613682483,17037,17037
1613684064,17046,17046
1613685748,17034,17034
1613687130,17061,17061
1613688538,17012,17012
1613691261,16993,16993
1613692681,17006,17006
1613694321,16981,16981
1613694861,16946,16946
1613697921,16958,16958
1613698461,16841,16841
1613699854,16804,16804
1613702061,16775,16775
1613703264,16743,16743
1613705124,16694,16694
1613706296,16632,16632
1613708723,16650,16650
1613710224,16214,16214
1613711637,16177,16177
1613714352,16216,16216
1613715501,16258,16258
1613716462,16248,16248
1613719519,16263,16263
1613721108,16224,16224
1613723660,16204,16204
1613725976,16219,16219
1613727260,16220,16220
1613730319,16260,16260
1613731516,16255,16255
1613732894,16277,16277
1613734463,16296,16296
1613736236,16299,16299
1613740058,16288,16288
1613742273,16288,16288
1613744040,16285,16285
1613745259,16264,16264
1613746624,16287,16287
1613748322,16288,16288
1613748859,16261,16261
1613750409,16258,16258
1613751584,16278,16278
1613752459,16270,16270
1613754156,16256,16256
1613756060,16255,16255
1613757790,16283,16283
1613759660,16283,16283
1613760957,16298,16298
1613762720,16318,16318
1613763262,16297,16297
1613764551,16310,16310
1613766329,16295,16295
1613766859,16262,16262
1613768683,16250,16250
1613770461,16243,16243
1613771578,16248,16248
1613774059,16217,16217
1613775444,16223,16223
1613777660,16166,16166
1613780723,16162,16162
1613782223,16120,16120
1613784322,16106,16106
1613786370,16028,16028
1613788462,15996,15996
1613789577,16003,16003
1613791520,15999,15999
1613792059,15926,15926
1613794165,15901,15901
1613795664,15824,15824
1613797609,15818,15818
1613798720,15832,15832
1613800826,15755,15755
1613802861,15720,15720
1613804056,15728,15728
1613805482,15748,15748
1613806460,15718,15718
1613808384,15695,15695
1613809519,15711,15711
1613811017,15676,15676
1613813117,15671,15671
1613814618,15639,15639
1613817257,15594,15594
1613818406,15601,15601
1613820164,15592,15592
1613820860,15569,15569
1613822569,15551,15551
1613824459,15528,15528
1613826547,15521,15521
1613827988,15511,15511
1613829391,15510,15510
1613831125,15506,15506
1613832625,15469,15469
1613833858,15460,15460
1613836676,15448,15448
1613838070,15441,15441
1613838859,15432,15432
1613840191,15439,15439
1613841918,15446,15446
1613843423,15421,15421
1613844977,15413,15413
1613846060,15377,15377
1613848360,15366,15366
1613849659,15346,15346
1613852720,15343,15343
1613853259,15287,15287
1613855611,15301,15301
1613856860,15270,15270
1613858743,15250,15250
1613862865,15264,15264
1613864062,15228,15228
1613865181,15233,15233
1613867122,15235,15235
1613867661,15204,15204
1613869477,15217,15217
1613871258,14362,14362
1613874321,14467,14467
1613877923,14502,14502
1613878461,14465,14465
1613881519,14633,14633
1613883022,14619,14619
1613884669,14575,14575
1613885663,14546,14546
1613886864,14578,14578
1613888223,14591,14591
1613889258,14545,14545
1613892045,14591,14591
1613892860,14582,14582
1613894955,14579,14579
1613896458,14631,14631
1613898673,14640,14640
1613900079,14623,14623
1613902923,14628,14628
1613904043,14587,14587
1613906510,14604,14604
1613907257,14577,14577
1613910860,14564,14564
1613912184,14586,14586
1613913761,14601,14601
1613914460,14586,14586
1613917519,14610,14610
1613918963,14599,14599
1613920646,14602,14602
1613921656,14582,14582
1613923032,14589,14589
1613924718,14608,14608
1613925260,14591,14591
1613927028,14590,14590
1613928857,14577,14577
1613930539,14559,14559
1613932459,14575,14575
1613935523,14618,14618
1613937022,14604,14604
1613939154,14634,14634
1613940803,14603,14603
1613942722,14636,14636
1613943259,14608,14608
1613944555,14621,14621
1613946322,14636,14636
1613946859,14614,14614
1613948294,14640,14640
1613950460,14615,14615
1613953521,14617,14617
1613954059,14599,14599
1613957660,14627,14627
1613960379,14652,14652
1613961969,14649,14649
1613964023,14675,14675
1613964859,14685,14685
1613969420,14749,14749
1613970563,14741,14741
1613972060,14746,14746
1613973212,14762,14762
1613974424,14777,14777
1613975616,14722,14722
1613978305,14692,14692
1613979259,14676,14676
1613980414,14719,14719
1613982889,14752,14752
1613984110,14789,14789
1613985469,14760,14760
1613986457,14728,14728
1613987683,14741,14741
1613992615,14764,14764
1613993659,14760,14760
1613994837,14783,14783
1613996719,14784,14784
1613997260,14760,14760
1613999715,14764,14764
1614001819,14753,14753
1614003745,14733,14733
1614004460,14722,14722
1614011128,14773,14773
1614011661,14754,14754
1614015257,14791,14791
1614017448,14805,14805
1614019552,14808,14808
1614022461,14806,14806
1614025391,14825,14825
1614026063,14805,14805
1614029123,14799,14799
1614030619,14784,14784
1614033258,14799,14799
1614035654,14808,14808
1614037046,14807,14807
1614038284,14822,14822
1614039924,14833,14833
1614041421,14806,14806
1614044060,14795,14795
1614046443,14801,14801
1614047658,14801,14801
1614050722,14753,14753
1614051260,14730,14730
1614053764,14756,14756
1614054861,14763,14763
1614057706,14762,14762
1614058845,14730,14730
1614061234,14772,14772
1614062059,14757,14757
1614065660,14790,14790
1614069259,14866,14866
1614070445,14895,14895
1614072169,14914,14914
1614072860,14896,14896
1614074052,14922,14922
1614075253,14925,14925
1614077289,14914,14914
1614078911,14953,14953
1614080077,14936,14936
1614081350,14969,14969
1614083119,14970,14970
1614083665,14943,14943
1614085540,14927,14927
1614087260,14939,14939
1614088418,14949,14949
1614090322,14953,14953
1614090858,14949,14949
1614092008,14975,14975
1614093237,14975,14975
1614094457,14954,14954
1614096030,14953,14953
1614097518,14978,14978
1614098774,14955,14955
1614100449,14963,14963
1614101661,14923,14923
1614103362,14907,14907
1614105258,14910,14910
1614108860,14887,14887
1614110905,14886,14886
1614112460,14858,14858
1614113639,14866,14866
1614114910,14867,14867
1614116241,14858,14858
1614118829,14876,14876
1614119664,14861,14861
1614121193,14851,14851
1614122722,14876,14876
1614123260,14845,14845
1614124380,14840,14840
1614126317,14847,14847
1614126860,14809,14809
1614129820,14820,14820
1614131089,14799,14799
1614132569,14794,14794
1614134060,14764,14764
1614136816,14789,14789
1614137663,14763,14763
1614138783,14759,14759
1614141263,14748,14748
1614142962,14750,14750
1614144862,14754,14754
1614146359,14734,14734
1614148462,14748,14748
1614149768,14763,14763
1614151321,14761,14761
1614152061,14688,14688
1614153243,14682,14682
1614155123,14682,14682
1614156360,14720,14720
1614157487,14728,14728
1614159260,14732,14732
1614162860,14859,14859
1614164006,14908,14908
1614165203,14928,14928
1614166460,14817,14817
1614169523,14411,14411
1614170059,14409,14409
1614171175,14498,14498
1614172814,14568,14568
1614173658,14574,14574
1614175499,14670,14670
1614176718,14739,14739
1614178310,14768,14768
1614179746,14806,14806
1614180858,14819,14819
1614182080,14853,14853
1614183305,14873,14873
1614184462,14900,14900
1614185771,14938,14938
1614187518,14975,14975
1614188060,14959,14959
1614189851,14969,14969
1614191660,14992,14992
1614194354,15047,15047
1614195260,15055,15055
1614196584,15086,15086
1614198320,15090,15090
1614198859,15066,15066
1614201271,15095,15095
1614202460,15089,15089
1614203582,15099,15099
1614206059,15105,15105
1614207964,15106,15106
1614209661,15120,15120
1614213261,15149,15149
1614216252,15181,15181
1614216862,15162,15162
1614220459,15130,15130
1614221627,15151,15151
1614223520,15161,15161
1614224777,15119,15119
1614227661,15166,15166
1614231260,15178,15178
1614232564,15180,15180
1614234121,15147,15147
1614234859,15080,15080
1614237627,15116,15116
1614238459,15050,15050
1614240107,15037,15037
1614241242,15064,15064
