DateTime,AddedIPs,RemovedIPs
1613265767,2,2
1613267444,0,1
1613270088,0,5
1613272938,1,2
1613273685,0,1
1613277278,0,2
1613280655,1,0
1613281839,1,0
1613284476,1,3
1613288075,1,1
1613291681,3,4
1613293584,1,0
1613295279,0,2
1613297242,6,2
1613299845,1,2
1613301613,1,2
1613302482,1,2
1613305538,2,0
1613306075,0,3
1613308467,1,1
1613312314,1,1
1613313490,0,1
1613315174,5,2
1613316337,5,0
1613319183,8,2
1613320472,1,1
1613323035,1,1
1613324082,0,2
1613327139,8,0
1613328640,4,10
1613330421,2,0
1613331764,2,2
1613333383,1,2
1613334883,2,1
1613337160,2,0
1613338479,3,1
1613342078,6,1
1613345144,1,0
1613349281,3,0
1613352020,5,2
1613353714,2,1
1613356484,0,1
1613358413,2,0
1613360083,1,1
1613363027,3,1
1613367276,2,0
1613369701,3,0
1613371838,2,2
1613375070,1,4
1613376592,0,1
1613378082,0,2
1613379899,3,1
1613381678,1,1
1613383754,2,1
1613386241,1,2
1613387959,3,1
1613389180,0,1
1613392952,0,1
1613395192,1,0
1613397953,1,0
1613400155,1,2
1613402421,4,0
1613403274,0,4
1613404588,1,0
1613405886,2,1
1613407206,1,0
1613409762,3,1
1613415042,2,1
1613419049,0,1
1613420334,8,2
1613422236,0,2
1613424883,0,2
1613426257,1,1
1613429441,1,3
1613432085,2,2
1613434643,1,2
1613436106,2,0
1613438642,1,1
1613441012,0,1
1613443248,4,1
1613444902,1,3
1613448340,2,2
1613450455,1,1
1613453143,4,0
1613453683,0,1
1613455603,0,1
1613460881,1,4
1613462897,1,1
1613465779,2,0
1613467541,0,1
1613468069,0,3
1613469821,2,6
1613471678,0,5
1613474129,1,1
1613475283,0,1
1613477374,1,3
1613478878,3,0
1613481942,3,3
1613484635,2,3
1613487037,0,3
1613489138,0,2
1613489678,0,1
1613496102,1,0
1613497370,1,0
1613499097,1,0
1613500480,1,0
1613502264,2,0
1613506362,0,1
1613507679,0,1
1613510103,1,0
1613511810,1,2
1613513491,0,1
1613514878,1,0
1613517942,0,1
1613520823,1,0
1613525678,1,1
1613528076,1,0
1613529279,1,0
1613532887,0,5
1613535377,1,0
1613536484,2,2
1613539543,0,2
1613540953,0,1
1613546502,0,1
1613549261,0,1
1613550881,0,3
1613552361,0,1
1613554481,0,1
1613555697,0,1
1613557251,0,1
1613560917,1,0
1613561680,0,1
1613563371,1,0
1613565277,0,2
1613570973,0,1
1613572479,1,2
1613576077,2,1
1613579098,3,3
1613580445,0,1
1613583282,1,0
1613586090,1,0
1613586875,1,0
1613589939,2,0
1613591441,0,2
1613594073,0,1
1613597692,1,1
1613598970,0,1
1613601363,1,1
1613604884,1,1
1613608481,0,2
1613611546,2,1
1613612082,1,0
1613615142,1,0
1613615674,1,3
1613619292,1,0
1613621830,1,1
1613622886,0,1
1613625939,2,2
1613627441,1,1
1613629544,1,1
1613630078,0,1
1613631783,0,2
1613633680,0,1
1613635818,2,0
1613637278,0,2
1613639476,0,1
1613640831,0,1
1613643637,1,0
1613645441,0,1
1613650351,2,3
1613651683,1,2
1613655280,2,2
1613658880,2,1
1613660252,1,0
1613662481,0,1
1613666081,0,1
1613667286,1,0
1613668981,0,1
1613670315,0,1
1613675493,1,1
1613676877,0,2
1613680480,0,1
1613682516,0,1
1613687149,0,2
1613688572,2,2
1613690708,1,0
1613691281,0,3
1613692766,0,1
1613697944,0,2
1613698484,0,1
1613702081,1,1
1613703303,1,0
1613705150,0,1
1613706318,1,1
1613710247,2,1
1613711664,0,2
1613712866,7,3
1613714391,2,0
1613715518,1,0
1613716480,2,0
1613717781,1,0
1613719538,2,1
1613721133,2,0
1613723679,0,3
1613725999,1,2
1613730340,3,1
1613731545,0,2
1613734484,0,2
1613736275,0,1
1613738068,3,1
1613742290,2,0
1613744057,0,2
1613745277,1,0
1613746647,0,1
1613748339,1,0
1613748880,0,2
1613751598,0,1
1613752481,1,0
1613756081,1,0
1613757811,1,0
1613759679,1,1
1613762740,1,1
1613764568,1,0
1613766350,1,0
1613766876,0,1
1613768722,0,2
1613770488,0,1
1613774077,1,3
1613777683,0,2
1613780741,1,1
1613782243,0,2
1613784340,5,2
1613786460,7,1
1613788480,1,0
1613789599,1,2
1613794187,1,2
1613795684,0,2
1613797635,2,0
1613802340,1,1
1613802880,0,1
1613804072,1,0
1613805513,0,1
1613806478,0,1
1613817274,3,3
1613818426,2,0
1613820879,0,1
1613828028,0,1
1613829418,0,6
1613831143,1,5
1613832644,1,2
1613833890,1,0
1613836744,1,3
1613838882,0,2
1613840208,0,1
1613845007,0,1
1613846078,0,1
1613853278,0,3
1613855631,1,0
1613856881,0,1
1613858772,1,1
1613860472,2,0
1613862885,5,0
1613864084,2,1
1613867143,1,1
1613867682,1,0
1613870128,6,1
1613871275,4,1
1613874344,4,0
1613875659,2,1
1613878481,0,1
1613881544,3,0
1613883045,0,2
1613884703,1,0
1613886883,0,3
1613888245,1,0
1613889279,1,0
1613892069,0,1
1613894981,2,0
1613898698,1,0
1613900099,1,2
1613902947,2,0
1613904064,0,4
1613906535,2,2
1613907278,0,3
1613910880,1,1
1613917539,4,3
1613918979,1,1
1613920663,2,1
1613921673,1,0
1613924736,2,0
1613925280,0,1
1613927048,1,2
1613930569,1,0
1613932476,0,1
1613935555,1,1
1613937040,0,1
1613939177,1,0
1613940821,1,0
1613942747,1,1
1613946340,0,1
1613950479,0,1
1613953542,0,1
1613954079,0,4
1613957680,2,0
1613960395,2,0
1613961995,0,1
1613969444,2,2
1613970642,0,1
1613973228,1,0
1613974441,0,1
1613975692,0,1
1613978345,0,1
1613979276,2,1
1613982912,1,1
1613984133,1,0
1613986480,0,1
1613987707,2,0
1613992645,2,1
1613993676,0,1
1613999742,2,1
1614001853,1,0
1614004480,1,2
1614008070,1,0
1614011678,1,0
1614015274,0,2
1614022480,3,2
1614025424,1,1
1614026081,0,1
1614029146,12,1
1614035678,0,2
1614037065,1,1
1614038367,0,2
1614039944,1,0
1614041444,0,6
1614044079,0,1
1614046465,0,1
1614047681,0,1
1614050744,3,6
1614053785,4,0
1614054886,0,1
1614057732,1,1
1614058866,1,2
1614061254,1,1
1614062080,0,2
1614065678,3,0
1614069277,2,0
1614072192,0,1
1614072877,0,2
1614074073,0,1
1614075269,0,1
1614077304,0,1
1614078941,1,0
1614080095,1,2
1614083179,1,2
1614083687,0,2
1614087280,1,4
1614090340,0,2
1614090876,1,2
1614093266,1,0
1614094475,1,1
1614098795,1,2
1614100470,1,1
1614101683,0,1
1614103400,0,3
1614105277,1,0
1614108880,0,1
1614110921,0,1
1614112483,1,1
1614113662,1,0
1614114942,1,0
1614116259,1,0
1614118848,2,0
1614119683,0,1
1614123278,0,1
1614124403,1,0
1614126340,0,2
1614126878,0,1
1614129856,1,1
1614131108,0,1
1614132586,1,2
1614134080,1,0
1614136845,0,1
1614137684,0,1
1614138806,2,0
1614141283,1,2
1614146383,0,1
1614148481,0,1
1614152081,0,1
1614156382,0,1
1614159282,3,0
1614162880,6,3
1614164022,1,0
1614165221,1,0
1614166481,3,1
1614169545,7,0
1614170080,0,1
1614171198,2,1
1614172837,2,1
1614176602,0,1
1614178341,4,1
1614179765,1,0
1614180876,2,1
1614182096,1,0
1614183332,0,2
1614184480,0,1
1614187539,1,0
1614189875,1,2
1614191677,1,2
1614195277,0,2
1614198877,0,2
1614201312,1,0
1614202482,2,1
1614203612,0,1
1614205537,0,2
1614206078,1,2
1614207990,3,1
1614209690,1,0
1614213282,2,1
1614216272,0,1
1614216882,0,3
1614220478,0,3
1614221649,0,1
1614227684,1,0
1614232595,0,1
1614234878,0,1
1614237658,2,1
1614238479,0,4
1614243039,1,1
1614245140,2,1
1614245675,1,0
1614248300,2,0
1614249279,0,1
1614252340,2,1
1614252880,1,0
1614257443,2,0
1614258828,0,1
1614260075,0,1
1614262428,1,0
1614267280,1,1
1614269272,0,1
1614278078,0,2
1614284298,1,0
1614285279,0,1
1614288347,0,1
1614288881,0,2
1614292488,0,3
1614296432,0,2
1614299141,1,0
1614305220,0,3
1614306879,0,1
1614310488,0,1
1614318978,1,1
1614321280,0,1
1614323984,1,1
1614326559,1,2
1614327940,2,0
1614329443,0,1
1614331552,0,1
1614335138,1,0
1614336597,1,4
1614338743,0,12
1614339279,0,1
1614341038,1,1
1614343501,0,3
1614345944,1,2
1614346480,0,2
1614349538,1,1
1614350855,1,1
1614352435,1,1
1614353678,1,1
1614356774,0,2
1614357281,0,1
1614360882,2,2
1614362118,1,1
1614363617,0,1
1614365601,1,1
1614368080,0,1
1614371142,0,2
1614371680,0,1
1614375313,0,3
1614378163,2,1
1614378882,0,1
1614381475,1,1
1614385540,1,2
1614388691,0,1
1614391075,1,0
1614392740,0,1
1614393286,0,2
1614396367,0,2
1614398929,2,7
1614401717,1,2
1614405882,1,1
1614407678,1,1
1614411279,0,3
1614413148,0,4
1614414881,1,2
1614416827,1,1
1614418482,1,0
1614420422,0,1
1614422077,0,2
