DateTime,Entries,UniqueIPs
1613265767,1194,1194
1613267444,1193,1193
1613270088,1188,1188
1613272938,1187,1187
1613273685,1186,1186
1613277278,1184,1184
1613280655,1185,1185
1613281839,1186,1186
1613284476,1184,1184
1613288075,1184,1184
1613291681,1183,1183
1613293584,1184,1184
1613295279,1182,1182
1613297242,1186,1186
1613299845,1185,1185
1613301613,1184,1184
1613302482,1183,1183
1613305538,1185,1185
1613306075,1182,1182
1613308467,1182,1182
1613312314,1182,1182
1613313490,1181,1181
1613315174,1184,1184
1613316337,1189,1189
1613319183,1195,1195
1613320472,1195,1195
1613323035,1195,1195
1613324082,1193,1193
1613327139,1201,1201
1613328640,1195,1195
1613330421,1197,1197
1613331764,1197,1197
1613333383,1196,1196
1613334883,1197,1197
1613337160,1199,1199
1613338479,1201,1201
1613342078,1206,1206
1613345144,1207,1207
1613349281,1210,1210
1613352020,1213,1213
1613353714,1214,1214
1613356484,1213,1213
1613358413,1215,1215
1613360083,1215,1215
1613363027,1217,1217
1613367276,1219,1219
1613369701,1222,1222
1613371838,1222,1222
1613375070,1219,1219
1613376592,1218,1218
1613378082,1216,1216
1613379899,1218,1218
1613381678,1218,1218
1613383754,1219,1219
1613386241,1218,1218
1613387959,1220,1220
1613389180,1219,1219
1613392952,1218,1218
1613395192,1219,1219
1613397953,1220,1220
1613400155,1219,1219
1613402421,1223,1223
1613403274,1219,1219
1613404588,1220,1220
1613405886,1221,1221
1613407206,1222,1222
1613409762,1224,1224
1613415042,1225,1225
1613419049,1224,1224
1613420334,1230,1230
1613422236,1228,1228
1613424883,1226,1226
1613426257,1226,1226
1613429441,1224,1224
1613432085,1224,1224
1613434643,1223,1223
1613436106,1225,1225
1613438642,1225,1225
1613441012,1224,1224
1613443248,1227,1227
1613444902,1225,1225
1613448340,1225,1225
1613450455,1225,1225
1613453143,1229,1229
1613453683,1228,1228
1613455603,1227,1227
1613460881,1224,1224
1613462897,1224,1224
1613465779,1226,1226
1613467541,1225,1225
1613468069,1222,1222
1613469821,1218,1218
1613471678,1213,1213
1613474129,1213,1213
1613475283,1212,1212
1613477374,1210,1210
1613478878,1213,1213
1613481942,1213,1213
1613484635,1212,1212
1613487037,1209,1209
1613489138,1207,1207
1613489678,1206,1206
1613496102,1207,1207
1613497370,1208,1208
1613499097,1209,1209
1613500480,1210,1210
1613502264,1212,1212
1613506362,1211,1211
1613507679,1210,1210
1613510103,1211,1211
1613511810,1210,1210
1613513491,1209,1209
1613514878,1210,1210
1613517942,1209,1209
1613520823,1210,1210
1613525678,1210,1210
1613528076,1211,1211
1613529279,1212,1212
1613532887,1207,1207
1613535377,1208,1208
1613536484,1208,1208
1613539543,1206,1206
1613540953,1205,1205
1613546502,1204,1204
1613549261,1203,1203
1613550881,1200,1200
1613552361,1199,1199
1613554481,1198,1198
1613555697,1197,1197
1613557251,1196,1196
1613560917,1197,1197
1613561680,1196,1196
1613563371,1197,1197
1613565277,1195,1195
1613570973,1194,1194
1613572479,1193,1193
1613576077,1194,1194
1613579098,1194,1194
1613580445,1193,1193
1613583282,1194,1194
1613586090,1195,1195
1613586875,1196,1196
1613589939,1198,1198
1613591441,1196,1196
1613594073,1195,1195
1613597692,1195,1195
1613598970,1194,1194
1613601363,1194,1194
1613604884,1194,1194
1613608481,1192,1192
1613611546,1193,1193
1613612082,1194,1194
1613615142,1195,1195
1613615674,1193,1193
1613619292,1194,1194
1613621830,1194,1194
1613622886,1193,1193
1613625939,1193,1193
1613627441,1193,1193
1613629544,1193,1193
1613630078,1192,1192
1613631783,1190,1190
1613633680,1189,1189
1613635818,1191,1191
1613637278,1189,1189
1613639476,1188,1188
1613640831,1187,1187
1613643637,1188,1188
1613645441,1187,1187
1613650351,1186,1186
1613651683,1185,1185
1613655280,1185,1185
1613658880,1186,1186
1613660252,1187,1187
1613662481,1186,1186
1613666081,1185,1185
1613667286,1186,1186
1613668981,1185,1185
1613670315,1184,1184
1613675493,1184,1184
1613676877,1182,1182
1613680480,1181,1181
1613682516,1180,1180
1613687149,1178,1178
1613688572,1178,1178
1613690708,1179,1179
1613691281,1176,1176
1613692766,1175,1175
1613697944,1173,1173
1613698484,1172,1172
1613702081,1172,1172
1613703303,1173,1173
1613705150,1172,1172
1613706318,1172,1172
1613710247,1173,1173
1613711664,1171,1171
1613712866,1175,1175
1613714391,1177,1177
1613715518,1178,1178
1613716480,1180,1180
1613717781,1181,1181
1613719538,1182,1182
1613721133,1184,1184
1613723679,1181,1181
1613725999,1180,1180
1613730340,1182,1182
1613731545,1180,1180
1613734484,1178,1178
1613736275,1177,1177
1613738068,1179,1179
1613742290,1181,1181
1613744057,1179,1179
1613745277,1180,1180
1613746647,1179,1179
1613748339,1180,1180
1613748880,1178,1178
1613751598,1177,1177
1613752481,1178,1178
1613756081,1179,1179
1613757811,1180,1180
1613759679,1180,1180
1613762740,1180,1180
1613764568,1181,1181
1613766350,1182,1182
1613766876,1181,1181
1613768722,1179,1179
1613770488,1178,1178
1613774077,1176,1176
1613777683,1174,1174
1613780741,1174,1174
1613782243,1172,1172
1613784340,1175,1175
1613786460,1181,1181
1613788480,1182,1182
1613789599,1181,1181
1613794187,1180,1180
1613795684,1178,1178
1613797635,1180,1180
1613802340,1180,1180
1613802880,1179,1179
1613804072,1180,1180
1613805513,1179,1179
1613806478,1178,1178
1613817274,1178,1178
1613818426,1180,1180
1613820879,1179,1179
1613828028,1178,1178
1613829418,1172,1172
1613831143,1168,1168
1613832644,1167,1167
1613833890,1168,1168
1613836744,1166,1166
1613838882,1164,1164
1613840208,1163,1163
1613845007,1162,1162
1613846078,1161,1161
1613853278,1158,1158
1613855631,1159,1159
1613856881,1158,1158
1613858772,1158,1158
1613860472,1160,1160
1613862885,1165,1165
1613864084,1166,1166
1613867143,1166,1166
1613867682,1167,1167
1613870128,1172,1172
1613871275,1175,1175
1613874344,1179,1179
1613875659,1180,1180
1613878481,1179,1179
1613881544,1182,1182
1613883045,1180,1180
1613884703,1181,1181
1613886883,1178,1178
1613888245,1179,1179
1613889279,1180,1180
1613892069,1179,1179
1613894981,1181,1181
1613898698,1182,1182
1613900099,1181,1181
1613902947,1183,1183
1613904064,1179,1179
1613906535,1179,1179
1613907278,1176,1176
1613910880,1176,1176
1613917539,1177,1177
1613918979,1177,1177
1613920663,1178,1178
1613921673,1179,1179
1613924736,1181,1181
1613925280,1180,1180
1613927048,1179,1179
1613930569,1180,1180
1613932476,1179,1179
1613935555,1179,1179
1613937040,1178,1178
1613939177,1179,1179
1613940821,1180,1180
1613942747,1180,1180
1613946340,1179,1179
1613950479,1178,1178
1613953542,1177,1177
1613954079,1173,1173
1613957680,1175,1175
1613960395,1177,1177
1613961995,1176,1176
1613969444,1176,1176
1613970642,1175,1175
1613973228,1176,1176
1613974441,1175,1175
1613975692,1174,1174
1613978345,1173,1173
1613979276,1174,1174
1613982912,1174,1174
1613984133,1175,1175
1613986480,1174,1174
1613987707,1176,1176
1613992645,1177,1177
1613993676,1176,1176
1613999742,1177,1177
1614001853,1178,1178
1614004480,1177,1177
1614008070,1178,1178
1614011678,1179,1179
1614015274,1177,1177
1614022480,1178,1178
1614025424,1178,1178
1614026081,1177,1177
1614029146,1188,1188
1614035678,1186,1186
1614037065,1186,1186
1614038367,1184,1184
1614039944,1185,1185
1614041444,1179,1179
1614044079,1178,1178
1614046465,1177,1177
1614047681,1176,1176
1614050744,1173,1173
1614053785,1177,1177
1614054886,1176,1176
1614057732,1176,1176
1614058866,1175,1175
1614061254,1175,1175
1614062080,1173,1173
1614065678,1176,1176
1614069277,1178,1178
1614072192,1177,1177
1614072877,1175,1175
1614074073,1174,1174
1614075269,1173,1173
1614077304,1172,1172
1614078941,1173,1173
1614080095,1172,1172
1614083179,1171,1171
1614083687,1169,1169
1614087280,1166,1166
1614090340,1164,1164
1614090876,1163,1163
1614093266,1164,1164
1614094475,1164,1164
1614098795,1163,1163
1614100470,1163,1163
1614101683,1162,1162
1614103400,1159,1159
1614105277,1160,1160
1614108880,1159,1159
1614110921,1158,1158
1614112483,1158,1158
1614113662,1159,1159
1614114942,1160,1160
1614116259,1161,1161
1614118848,1163,1163
1614119683,1162,1162
1614123278,1161,1161
1614124403,1162,1162
1614126340,1160,1160
1614126878,1159,1159
1614129856,1159,1159
1614131108,1158,1158
1614132586,1157,1157
1614134080,1158,1158
1614136845,1157,1157
1614137684,1156,1156
1614138806,1158,1158
1614141283,1157,1157
1614146383,1156,1156
1614148481,1155,1155
1614152081,1154,1154
1614156382,1153,1153
1614159282,1156,1156
1614162880,1159,1159
1614164022,1160,1160
1614165221,1161,1161
1614166481,1163,1163
1614169545,1170,1170
1614170080,1169,1169
1614171198,1170,1170
1614172837,1171,1171
1614176602,1170,1170
1614178341,1173,1173
1614179765,1174,1174
1614180876,1175,1175
1614182096,1176,1176
1614183332,1174,1174
1614184480,1173,1173
1614187539,1174,1174
1614189875,1173,1173
1614191677,1172,1172
1614195277,1170,1170
1614198877,1168,1168
1614201312,1169,1169
1614202482,1170,1170
1614203612,1169,1169
1614205537,1167,1167
1614206078,1166,1166
1614207990,1168,1168
1614209690,1169,1169
1614213282,1170,1170
1614216272,1169,1169
1614216882,1166,1166
1614220478,1163,1163
1614221649,1162,1162
1614227684,1163,1163
1614232595,1162,1162
1614234878,1161,1161
1614237658,1162,1162
1614238479,1158,1158
1614243039,1158,1158
1614245140,1159,1159
1614245675,1160,1160
1614248300,1162,1162
1614249279,1161,1161
1614252340,1162,1162
1614252880,1163,1163
1614257443,1165,1165
1614258828,1164,1164
1614260075,1163,1163
1614262428,1164,1164
1614267280,1164,1164
1614269272,1163,1163
1614278078,1161,1161
1614284298,1162,1162
1614285279,1161,1161
1614288347,1160,1160
1614288881,1158,1158
1614292488,1155,1155
1614296432,1153,1153
1614299141,1154,1154
1614305220,1151,1151
1614306879,1150,1150
1614310488,1149,1149
1614318978,1149,1149
1614321280,1148,1148
1614323984,1148,1148
1614326559,1147,1147
1614327940,1149,1149
1614329443,1148,1148
1614331552,1147,1147
1614335138,1148,1148
1614336597,1145,1145
1614338743,1133,1133
1614339279,1132,1132
1614341038,1132,1132
1614343501,1129,1129
1614345944,1128,1128
1614346480,1126,1126
1614349538,1126,1126
1614350855,1126,1126
1614352435,1126,1126
1614353678,1126,1126
1614356774,1124,1124
1614357281,1123,1123
1614360882,1123,1123
1614362118,1123,1123
1614363617,1122,1122
1614365601,1122,1122
1614368080,1121,1121
1614371142,1119,1119
1614371680,1118,1118
1614375313,1115,1115
1614378163,1116,1116
1614378882,1115,1115
1614381475,1115,1115
1614385540,1114,1114
1614388691,1113,1113
1614391075,1114,1114
1614392740,1113,1113
1614393286,1111,1111
1614396367,1109,1109
1614398929,1104,1104
1614401717,1103,1103
1614405882,1103,1103
1614407678,1103,1103
1614411279,1100,1100
1614413148,1096,1096
1614414881,1095,1095
1614416827,1095,1095
1614418482,1096,1096
1614420422,1095,1095
1614422077,1093,1093
