DateTime,AddedIPs,RemovedIPs
1613365478,8,11
1613369298,7,12
1613371235,7,15
1613373171,11,9
1613375060,7,0
1613377004,12,10
1613380827,13,31
1613383061,12,7
1613387111,15,17
1613389957,7,25
1613391970,12,12
1613394149,19,15
1613396212,10,14
1613398397,7,16
1613400268,13,20
1613402196,17,18
1613404130,14,0
1613406017,19,7
1613408909,15,9
1613412772,11,10
1613414701,11,7
1613416603,8,7
1613418746,11,10
1613420681,8,7
1613422578,10,11
1613424538,10,6
1613426429,9,8
1613429551,9,11
1613432426,11,13
1613434376,9,0
1613436267,9,0
1613438664,10,12
1613440845,11,21
1613442883,14,14
1613445836,20,11
1613447778,11,15
1613449718,15,15
1613451665,16,11
1613454538,14,15
1613456466,12,11
1613458327,16,12
1613462215,12,23
1613464100,10,11
1613466048,11,14
1613467951,20,20
1613470820,16,15
1613472775,11,9
1613474688,15,18
1613477564,17,12
1613479483,17,8
1613481443,14,0
1613483320,18,8
1613485242,18,7
1613487188,6,9
1613489067,12,14
1613490993,16,8
1613492960,18,13
1613495810,7,7
1613497702,8,14
1613499618,10,8
1613501576,12,3
1613503463,11,0
1613505470,8,20
1613507320,16,0
1613509228,24,4
1613511179,12,11
1613513087,17,4
1613515024,15,11
1613517215,20,12
1613519111,9,12
1613521014,12,4
1613525104,21,23
1613526994,12,6
1613528927,13,10
1613530863,16,13
1613532765,11,0
1613534666,9,6
1613536862,14,8
1613538771,8,10
1613540665,10,5
1613542646,11,11
1613544502,10,11
1613546432,16,11
1613548366,14,0
1613550258,19,12
1613553142,24,24
1613555118,23,0
1613556986,12,8
1613559145,21,7
1613563039,14,11
1613565898,21,13
1613569726,19,23
1613571627,5,8
1613573561,21,13
1613575503,5,12
1613577402,15,9
1613580275,17,3
1613582180,13,10
1613585088,8,20
1613587019,15,10
1613588905,2,9
1613590843,7,23
1613592783,11,14
1613594685,12,0
1613596611,15,9
1613598545,7,4
1613600429,6,14
1613602369,11,7
1613604294,5,11
1613606189,6,4
1613608101,11,1
1613610064,11,8
1613611962,15,0
1613613936,8,0
1613615833,14,10
1613617942,11,13
1613620894,15,15
1613622741,15,4
1613624672,9,16
1613629463,18,21
1613631427,16,14
1613633326,13,11
1613635238,16,14
1613637225,10,17
1613639087,9,14
1613641963,11,29
1613643961,12,16
1613645807,7,14
1613650609,15,21
1613652501,11,9
1613654458,9,4
1613657341,20,19
1613661142,10,18
1613663113,7,9
1613665272,5,7
1613667151,11,8
1613669058,8,16
1613670991,16,11
1613672935,12,12
1613675817,11,9
1613677714,6,7
1613679880,18,8
1613682744,7,8
1613684693,9,7
1613686593,8,8
1613688552,8,9
1613690461,16,0
1613692376,16,23
1613694270,10,8
1613696205,14,7
1613700091,13,22
