DateTime,Entries,UniqueIPs
1613365478,5840,6023
1613369298,5822,6001
1613371235,5815,5993
1613373171,5804,5980
1613375060,5814,5991
1613377004,5807,5984
1613380827,5786,5964
1613383061,5787,5967
1613387111,5788,5968
1613389957,5789,5972
1613391970,5790,5973
1613394149,5800,5984
1613396212,5802,5987
1613398397,5783,5968
1613400268,5800,5986
1613402196,5795,5980
1613404130,5798,5984
1613406017,5821,6008
1613408909,5816,6001
1613412772,5812,5996
1613414701,5817,6001
1613416603,5817,6001
1613418746,5819,6002
1613420681,5820,6002
1613422578,5825,6003
1613424538,5823,6001
1613426429,5820,5998
1613429551,5792,5971
1613432426,5785,5965
1613434376,5778,5959
1613436267,5771,5950
1613438664,5771,5950
1613440845,5779,5957
1613442883,5777,5956
1613445836,5783,5962
1613447778,5781,5958
1613449718,5784,5961
1613451665,5783,5961
1613454538,5789,5969
1613456466,5788,5968
1613458327,5788,5967
1613462215,5768,5947
1613464100,5760,5938
1613466048,5755,5931
1613467951,5757,5930
1613470820,5764,5938
1613472775,5753,5926
1613474688,5762,5935
1613477564,5773,5946
1613479483,5783,5956
1613481443,5792,5966
1613483320,5812,5987
1613485242,5826,6002
1613487188,5823,6000
1613489067,5815,5992
1613490993,5827,6004
1613492960,5833,6009
1613495810,5818,5995
1613497702,5815,5992
1613499618,5828,6005
1613501576,5823,6000
1613503463,5830,6006
1613505470,5830,6006
1613507320,5844,6020
1613509228,5870,6046
1613511179,5882,6058
1613513087,5885,6063
1613515024,5895,6072
1613517215,5916,6093
1613519111,5917,6094
1613521014,5916,6092
1613525104,5917,6087
1613526994,5921,6092
1613528927,5917,6088
1613530863,5921,6092
1613532765,5924,6096
1613534666,5921,6093
1613536862,5918,6091
1613538771,5914,6087
1613540665,5917,6089
1613542646,5913,6085
1613544502,5916,6087
1613546432,5924,6095
1613548366,5931,6102
1613550258,5943,6114
1613553142,5955,6127
1613555118,5970,6142
1613556986,5972,6144
1613559145,5975,6148
1613563039,5980,6153
1613565898,5986,6161
1613569726,5978,6153
1613571627,5965,6142
1613573561,5965,6142
1613575503,5963,6140
1613577402,5980,6158
1613580275,5976,6155
1613582180,5971,6154
1613585088,5945,6128
1613587019,5960,6144
1613588905,5949,6132
1613590843,5938,6121
1613592783,5933,6116
1613594685,5936,6121
1613596611,5948,6133
1613598545,5951,6136
1613600429,5944,6129
1613602369,5944,6128
1613604294,5940,6123
1613606189,5934,6116
1613608101,5927,6109
1613610064,5922,6103
1613611962,5925,6103
1613613936,5913,6091
1613615833,5910,6085
1613617942,5913,6087
1613620894,5900,6077
1613622741,5925,6104
1613624672,5930,6110
1613629463,5908,6089
1613631427,5877,6058
1613633326,5878,6058
1613635238,5898,6081
1613637225,5884,6065
1613639087,5886,6067
1613641963,5860,6041
1613643961,5872,6053
1613645807,5867,6047
1613650609,5864,6043
1613652501,5859,6039
1613654458,5854,6034
1613657341,5861,6041
1613661142,5842,6022
1613663113,5844,6022
1613665272,5818,5997
1613667151,5831,6011
1613669058,5827,6008
1613670991,5818,5999
1613672935,5834,6016
1613675817,5813,5994
1613677714,5815,5998
1613679880,5815,5999
1613682744,5810,5991
1613684693,5809,5990
1613686593,5805,5985
1613688552,5796,5975
1613690461,5801,5980
1613692376,5811,5988
1613694270,5812,5988
1613696205,5814,5987
1613700091,5804,5979
1613701937,5807,5983
1613703871,5809,5981
1613705779,5814,5986
1613707767,5809,5981
1613709624,5808,5980
1613711556,5807,5979
1613713500,5812,5983
1613715401,5828,5999
1613717299,5814,5985
1613719254,5806,5978
1613721136,5791,5963
1613723063,5800,5971
1613725015,5808,5979
1613726899,5813,5986
1613728864,5805,5979
1613731697,5813,5988
1613733645,5809,5983
1613735543,5801,5975
1613737497,5801,5973
1613739389,5804,5976
1613741334,5801,5972
1613743305,5815,5986
1613745194,5813,5984
1613747072,5802,5974
1613749038,5795,5967
1613750900,5799,5971
1613752849,5794,5966
1613754807,5798,5966
1613756652,5798,5966
1613758597,5792,5960
1613760553,5793,5961
1613762417,5784,5952
1613764351,5799,5966
1613766298,5810,5977
1613768244,5819,5986
1613770157,5822,5989
1613773261,5816,5983
1613775146,5824,5991
1613779996,5799,5965
1613781877,5807,5973
1613783833,5808,5978
1613785699,5819,5991
1613787711,5819,5991
1613789572,5820,5993
1613791612,5823,5997
1613793694,5830,6005
1613795785,5816,5991
1613797947,5812,5990
1613799980,5817,5996
1613801927,5827,6006
1613803963,5830,6011
1613805854,5847,6028
1613807876,5859,6040
1613809701,5863,6045
1613811913,5859,6040
1613813785,5862,6042
1613815724,5866,6045
1613817657,5870,6050
1613819530,5881,6062
1613821457,5881,6061
1613823418,5889,6069
1613825298,5886,6066
1613827206,5901,6081
1613829174,5896,6074
1613831060,5895,6073
1613833961,5877,6054
1613835912,5858,6034
1613837807,5848,6025
1613839732,5847,6023
1613841646,5837,6013
1613843543,5824,5999
1613845563,5814,5989
1613847399,5812,5987
1613849320,5806,5980
1613851262,5807,5980
1613857017,5781,5946
1613858911,5768,5933
1613860850,5768,5933
1613862773,5764,5928
1613864720,5768,5932
1613866764,5764,5926
1613868842,5763,5926
1613870934,5766,5930
1613873779,5776,5939
1613875757,5773,5934
1613877675,5767,5928
1613879588,5763,5920
1613881488,5755,5913
1613883407,5753,5912
1613885339,5739,5899
1613887259,5739,5899
1613889426,5717,5876
1613891354,5722,5880
1613893217,5713,5870
1613895139,5733,5890
1613897077,5732,5890
1613899949,5715,5868
1613901932,5731,5885
1613903805,5733,5891
1613905747,5728,5885
1613907669,5728,5885
1613909555,5749,5907
1613911727,5735,5894
1613913659,5740,5899
1613917026,5735,5893
1613918910,5737,5896
1613921064,5749,5909
1613922985,5767,5927
1613924958,5755,5916
1613927808,5749,5910
1613929703,5739,5902
1613931870,5742,5905
1613933813,5747,5910
1613935699,5743,5906
1613937659,5733,5893
1613940560,5740,5899
1613942431,5729,5889
1613944346,5740,5901
1613946301,5739,5901
1613948211,5734,5896
1613950148,5742,5906
1613952047,5756,5920
1613954001,5737,5900
1613956868,5744,5903
1613958751,5741,5900
1613960714,5733,5893
1613962586,5731,5889
1613965469,5736,5895
1613967416,5737,5896
1613970311,5720,5879
1613972199,5726,5887
1613974149,5716,5877
1613976019,5727,5888
1613978000,5718,5878
1613979890,5723,5882
1613981775,5735,5894
1613985860,5734,5893
1613987812,5754,5915
1613992578,5738,5894
1613994501,5754,5910
1613996474,5746,5900
1613998340,5743,5896
1614001268,5713,5865
1614003184,5729,5881
1614005066,5732,5885
1614006985,5722,5874
1614009866,5706,5857
1614013718,5668,5819
1614015631,5676,5827
1614017593,5679,5830
1614019463,5690,5841
1614021386,5681,5833
1614023339,5674,5826
1614025235,5669,5821
1614027146,5667,5820
1614030986,5651,5806
1614033135,5644,5800
1614035140,5639,5796
1614036983,5652,5811
1614038950,5642,5801
1614040895,5639,5799
1614042804,5645,5805
1614044753,5645,5806
1614046612,5647,5808
1614048665,5643,5804
1614050700,5633,5793
1614053617,5626,5787
1614055459,5621,5781
1614058398,5616,5775
1614060269,5602,5761
1614062210,5596,5755
1614064103,5603,5762
1614066014,5615,5776
1614067971,5612,5771
1614069865,5604,5763
1614071781,5612,5771
1614073747,5599,5757
1614076616,5586,5744
1614078518,5579,5737
1614080677,5567,5728
1614082580,5558,5718
1614084536,5551,5710
1614086434,5548,5707
1614088329,5542,5701
1614090291,5536,5692
1614092211,5545,5702
1614094121,5549,5705
1614096097,5544,5699
1614097977,5542,5696
1614099869,5554,5708
1614101816,5561,5717
1614104693,5555,5711
1614106616,5554,5709
1614108505,5549,5704
1614110433,5549,5704
1614112379,5539,5693
1614114273,5524,5679
1614116220,5524,5680
1614118110,5512,5668
1614120027,5513,5672
1614121978,5527,5686
1614123869,5529,5687
1614125823,5513,5671
1614127981,5529,5687
1614129863,5544,5704
1614132755,5516,5675
1614134663,5514,5675
1614136614,5508,5668
1614138522,5515,5675
1614140459,5507,5666
1614142339,5511,5670
1614144245,5512,5671
1614146200,5517,5675
1614148139,5515,5675
1614150034,5518,5678
1614152927,5520,5680
1614154825,5515,5675
1614156738,5513,5674
1614158688,5506,5668
1614160584,5495,5657
1614162491,5503,5666
1614164459,5496,5664
1614166333,5509,5679
1614168299,5494,5664
1614170171,5515,5686
1614172339,5508,5678
1614174266,5526,5696
1614176212,5515,5685
1614178091,5519,5689
1614180008,5511,5679
1614181974,5524,5692
1614183848,5527,5695
1614185769,5521,5689
1614187729,5526,5693
1614189650,5537,5704
1614191531,5536,5703
1614193545,5531,5698
1614195386,5538,5707
1614197300,5541,5710
1614199330,5542,5711
1614201139,5535,5703
1614203088,5530,5699
1614204978,5527,5695
1614206887,5529,5697
1614208878,5531,5699
1614210730,5531,5701
1614212648,5532,5702
1614214858,5523,5693
1614216727,5529,5696
1614218663,5524,5693
1614220618,5525,5694
1614222494,5525,5694
1614224407,5521,5690
1614228255,5487,5656
1614230169,5482,5652
1614232126,5496,5668
1614234042,5511,5684
1614235929,5505,5678
1614237888,5498,5672
1614239793,5503,5676
1614241724,5501,5675
1614243643,5500,5674
1614245528,5494,5668
1614247492,5492,5667
1614249371,5491,5667
1614253244,5501,5678
1614255421,5495,5673
1614257287,5507,5686
1614259220,5507,5688
1614261163,5513,5695
1614263046,5512,5695
1614264972,5529,5712
1614266924,5537,5720
1614268835,5541,5724
1614270729,5543,5727
1614272690,5550,5733
1614274567,5548,5731
1614276493,5540,5724
1614278454,5524,5708
1614280325,5532,5716
1614282248,5535,5720
1614284213,5538,5723
1614286091,5534,5718
1614288018,5546,5730
1614291846,5539,5723
1614293765,5540,5723
1614295724,5545,5729
1614297655,5533,5717
1614299540,5527,5712
1614303369,5524,5712
1614305533,5514,5702
1614307447,5519,5708
1614309400,5513,5702
1614311290,5523,5713
1614313227,5519,5709
1614315174,5516,5706
1614317050,5517,5706
1614318971,5511,5701
1614320920,5515,5705
1614322817,5525,5716
1614324755,5527,5719
1614326694,5538,5730
1614328572,5535,5729
1614330733,5529,5724
1614332650,5519,5717
1614334601,5514,5710
1614336485,5529,5726
1614338415,5524,5721
1614340363,5518,5715
1614342250,5539,5736
1614344209,5521,5720
1614346089,5541,5740
1614348025,5543,5743
1614349925,5545,5745
1614351877,5540,5740
1614355695,5547,5747
1614357855,5522,5722
1614359777,5518,5716
1614361760,5525,5724
1614363624,5526,5725
1614365552,5519,5717
1614367488,5527,5725
1614369392,5535,5732
1614371321,5527,5726
1614373258,5522,5723
1614377058,5519,5721
1614379010,5520,5723
1614380893,5520,5726
1614382828,5527,5733
1614384764,5536,5744
1614386653,5527,5733
1614388581,5517,5722
1614390522,5499,5699
1614392406,5514,5714
1614394328,5507,5710
1614396281,5507,5711
1614398169,5501,5704
1614400091,5491,5695
1614402071,5509,5713
1614403939,5510,5713
1614405860,5504,5706
1614407783,5501,5703
1614409931,5512,5716
1614411852,5516,5719
1614413799,5525,5729
1614415690,5526,5731
1614417631,5528,5733
1614419564,5534,5740
1614423366,5524,5730
