DateTime,AddedIPs,RemovedIPs
1608834107,32,12
1608845036,28,27
1608856083,29,19
1608867015,33,26
1608877868,25,15
1608888856,17,28
1608899984,20,13
1608910943,69,27
1608921804,27,20
1608932842,35,40
1608943880,23,40
1608954977,34,30
1608965880,32,22
1608976794,31,23
1608987799,23,20
1608998824,27,16
1609009915,40,24
1609020891,21,16
1609032001,26,16
1609042982,12,14
1609054079,32,14
1609065098,29,21
1609076101,26,21
1609087185,22,15
1609098455,42,18
1609109485,22,24
1609120584,36,19
1609131570,28,19
1609142635,16,18
1609153656,32,29
1609164720,22,32
1609175762,28,17
1609186792,31,13
1609197836,36,15
1609208913,25,14
1609219926,27,12
1609230895,30,32
1609241886,28,27
1609252647,30,16
1609263460,25,14
1609274295,26,29
1609285417,28,30
1609296392,30,21
1609307543,38,33
1609318245,22,13
1609329322,22,16
1609340437,21,24
1609351332,20,14
1609362454,41,13
1609373517,29,21
1609384548,33,24
1609395564,28,11
1609406648,31,11
1609417851,36,23
1609428792,26,21
1609439788,22,15
1609450750,23,16
1609461811,29,15
1609472886,23,16
1609483853,24,18
1609494945,20,20
1609505995,20,17
1609517033,24,17
1609527846,30,9
1609538881,30,18
1609549897,29,23
1609560954,31,10
1609571928,15,15
1609583026,20,27
1609594069,42,23
1609605096,16,14
1609616153,30,19
1609627158,34,17
1609638138,39,25
1609649286,12,15
1609660311,25,14
1609671341,22,24
1609682335,21,15
1609693396,17,8
1609704668,22,14
1609715576,31,12
1609726341,28,15
1609737347,28,16
1609748336,25,19
1609759467,24,17
1609770488,29,23
1609781487,20,14
1609792439,28,13
1609803322,20,25
1609814351,20,15
1609825440,25,19
1609836351,29,20
1609847065,29,20
1609858303,79,11
1609869375,68,19
1609880415,45,27
1609891409,130,36
1609902424,90,26
1609913483,30,28
1609924555,58,33
1609935595,91,33
1609946632,37,20
1609957895,60,20
1609968909,61,28
1609979833,35,39
1609990728,30,14
1610001808,21,30
1610012884,29,24
1610023904,22,17
1610034956,21,27
1610046031,18,29
1610057033,35,25
1610068055,34,26
1610079146,31,29
1610090187,16,38
1610101434,27,13
1610112485,43,16
1610123531,34,17
1610134596,46,13
1610145565,33,26
1610156637,40,21
1610167681,38,21
1610178719,35,26
1610189796,53,21
1610200863,38,28
1610211899,44,16
1610222874,64,23
1610233956,67,16
1610244968,73,24
1610255976,58,21
1610267032,83,8
1610278323,76,29
1610289357,83,28
1610300435,88,13
1610311477,115,25
1610322482,126,23
1610333523,99,22
1610344601,120,17
1610355644,109,26
1610366715,103,15
1610377683,119,29
1610388760,102,16
1610399762,88,19
1610410800,98,26
1610421883,100,9
1610433107,101,25
1610444157,112,12
1610455206,127,10
1610466244,104,12
1610477316,101,22
1610488326,116,25
1610499357,121,35
1610510529,112,13
1610521684,110,16
1610532749,131,25
1610543735,111,15
1610554804,123,20
1610565773,131,25
1610576856,129,27
1610587928,112,24
1610598945,104,27
1610610038,126,42
1610621035,119,28
1610632069,134,18
1610643143,122,10
1610654151,132,19
1610665180,115,23
1610676401,96,25
1610687512,115,23
1610698760,120,14
1610709875,104,28
1610720893,92,13
1610731902,97,18
1610742961,90,25
1610753969,95,18
1610765068,124,17
1610776037,102,18
1610787108,81,17
1610798167,92,17
1610809353,101,41
1610820516,82,23
1610831437,103,39
1610842528,73,23
1610853619,67,13
1610864551,75,13
1610875677,73,12
1610886764,80,12
1610897715,89,9
1610908788,84,22
1610919843,86,26
1610930877,66,26
1610997346,202,96
1611008373,66,19
1611019420,65,23
1611030483,49,21
1611041493,45,21
1611052520,46,26
1611063618,50,21
1611074856,53,13
1611085925,52,13
1611096963,63,35
1611108072,60,19
1611124561,75,32
1611135499,69,14
1611146688,50,30
1611157719,30,17
1611168947,59,26
1611179950,47,23
1611191225,43,33
1611202305,45,25
1611213361,45,33
1611224400,51,32
1611235376,53,40
1611246514,37,35
1611257508,46,22
1611268521,53,32
1611279481,35,20
1611290622,43,33
1611301678,47,26
1611312704,53,18
1611323876,42,18
1611334786,40,16
1611345902,34,19
1611357130,38,25
1611368091,37,23
1611379207,37,28
1611390241,39,21
1611412548,20,201
1611423542,40,34
1611434587,44,45
1611445613,45,29
1611456690,30,34
1611467746,35,24
1611478773,29,21
1611490110,35,24
1611501174,22,51
1611517744,170,44
1611528693,34,20
1611539641,20,30
1611550554,30,27
1611561678,34,36
1611572681,39,26
1611583930,30,13
1611594972,22,48
1611605901,21,17
1611617036,22,31
1611627989,32,28
1611638932,47,30
1611649894,29,43
1611660991,33,36
1611671982,24,26
1611683048,28,23
1611694097,20,36
1611704957,24,23
1611715889,21,39
1611726910,34,31
1611738055,39,20
1611749036,30,35
1611760059,22,20
1611771025,34,31
1611782154,24,39
1611793226,20,27
1611804244,19,26
1611815462,24,27
1611826557,28,22
1611837570,25,25
1611848576,27,23
1611859570,21,36
1611870650,23,29
1611881764,27,23
1611892739,14,36
1611903746,20,33
1611914835,31,16
1611925829,17,28
1611936881,15,18
1611947960,22,27
1611959003,23,23
1611970135,16,37
1611981106,21,23
1611992148,28,31
1612003178,20,30
1612014297,24,26
1612025526,13,14
1612036642,19,23
1612047552,14,24
1612058656,25,29
1612069701,22,16
1612080339,14,19
1612091247,26,26
1612102338,13,26
1612113402,20,13
1612124622,24,17
1612135594,38,38
1612146690,26,29
1612157671,22,15
1612168764,21,19
1612179815,32,32
1612190790,33,26
1612201941,38,26
1612212958,31,50
1612224085,30,37
1612235021,30,22
1612246206,29,17
1612257314,29,24
1612268197,29,22
1612279072,21,7
1612289803,22,26
1612300785,33,25
1612311996,24,26
1612322867,22,30
1612333843,20,17
1612344946,33,24
1612355843,38,20
1612366818,18,16
1612377800,40,21
1612388841,25,23
1612399951,23,26
1612410962,36,27
1612421895,32,18
1612432959,43,27
1612443873,23,57
1612454679,23,61
1612465900,18,48
1612476914,26,50
1612487965,28,64
1612499033,23,43
1612510058,34,26
1612521118,19,38
1612532150,28,39
1612543148,38,28
1612554210,25,37
1612565306,28,19
