DateTime,Entries,UniqueIPs
1608834107,3034,3034
1608845036,3035,3035
1608856083,3045,3045
1608867015,3052,3052
1608877868,3062,3062
1608888856,3051,3051
1608899984,3058,3058
1608910943,3100,3100
1608921804,3107,3107
1608932842,3102,3102
1608943880,3085,3085
1608954977,3089,3089
1608965880,3099,3099
1608976794,3107,3107
1608987799,3110,3110
1608998824,3121,3121
1609009915,3137,3137
1609020891,3142,3142
1609032001,3152,3152
1609042982,3150,3150
1609054079,3168,3168
1609065098,3176,3176
1609076101,3181,3181
1609087185,3188,3188
1609098455,3212,3212
1609109485,3210,3210
1609120584,3227,3227
1609131570,3236,3236
1609142635,3234,3234
1609153656,3237,3237
1609164720,3227,3227
1609175762,3238,3238
1609186792,3256,3256
1609197836,3277,3277
1609208913,3288,3288
1609219926,3303,3303
1609230895,3301,3301
1609241886,3302,3302
1609252647,3316,3316
1609263460,3327,3327
1609274295,3324,3324
1609285417,3322,3322
1609296392,3331,3331
1609307543,3336,3336
1609318245,3345,3345
1609329322,3351,3351
1609340437,3348,3348
1609351332,3354,3354
1609362454,3382,3382
1609373517,3390,3390
1609384548,3399,3399
1609395564,3416,3416
1609406648,3436,3436
1609417851,3449,3449
1609428792,3454,3454
1609439788,3461,3461
1609450750,3468,3468
1609461811,3482,3482
1609472886,3489,3489
1609483853,3495,3495
1609494945,3495,3495
1609505995,3498,3498
1609517033,3505,3505
1609527846,3526,3526
1609538881,3538,3538
1609549897,3544,3544
1609560954,3565,3565
1609571928,3565,3565
1609583026,3558,3558
1609594069,3577,3577
1609605096,3579,3579
1609616153,3590,3590
1609627158,3607,3607
1609638138,3621,3621
1609649286,3618,3618
1609660311,3629,3629
1609671341,3627,3627
1609682335,3633,3633
1609693396,3642,3642
1609704668,3650,3650
1609715576,3669,3669
1609726341,3682,3682
1609737347,3694,3694
1609748336,3700,3700
1609759467,3707,3707
1609770488,3713,3713
1609781487,3719,3719
1609792439,3734,3734
1609803322,3729,3729
1609814351,3734,3734
1609825440,3740,3740
1609836351,3749,3749
1609847065,3758,3758
1609858303,3826,3826
1609869375,3875,3875
1609880415,3893,3893
1609891409,3987,3987
1609902424,4051,4051
1609913483,4053,4053
1609924555,4078,4078
1609935595,4136,4136
1609946632,4153,4153
1609957895,4193,4193
1609968909,4226,4226
1609979833,4222,4222
1609990728,4238,4238
1610001808,4229,4229
1610012884,4234,4234
1610023904,4239,4239
1610034956,4233,4233
1610046031,4222,4222
1610057033,4232,4232
1610068055,4240,4240
1610079146,4242,4242
1610090187,4220,4220
1610101434,4234,4234
1610112485,4261,4261
1610123531,4278,4278
1610134596,4311,4311
1610145565,4318,4318
1610156637,4337,4337
1610167681,4354,4354
1610178719,4363,4363
1610189796,4395,4395
1610200863,4405,4405
1610211899,4433,4433
1610222874,4474,4474
1610233956,4525,4525
1610244968,4574,4574
1610255976,4611,4611
1610267032,4686,4686
1610278323,4733,4733
1610289357,4788,4788
1610300435,4863,4863
1610311477,4953,4953
1610322482,5056,5056
1610333523,5133,5133
1610344601,5236,5236
1610355644,5319,5319
1610366715,5407,5407
1610377683,5497,5497
1610388760,5583,5583
1610399762,5652,5652
1610410800,5724,5724
1610421883,5815,5815
1610433107,5891,5891
1610444157,5991,5991
1610455206,6108,6108
1610466244,6200,6200
1610477316,6279,6279
1610488326,6370,6370
1610499357,6456,6456
1610510529,6555,6555
1610521684,6649,6649
1610532749,6755,6755
1610543735,6851,6851
1610554804,6954,6954
1610565773,7060,7060
1610576856,7162,7162
1610587928,7250,7250
1610598945,7327,7327
1610610038,7411,7411
1610621035,7502,7502
1610632069,7618,7618
1610643143,7730,7730
1610654151,7843,7843
1610665180,7935,7935
1610676401,8006,8006
1610687512,8098,8098
1610698760,8204,8204
1610709875,8280,8280
1610720893,8359,8359
1610731902,8438,8438
1610742961,8503,8503
1610753969,8580,8580
1610765068,8687,8687
1610776037,8771,8771
1610787108,8835,8835
1610798167,8910,8910
1610809353,8970,8970
1610820516,9029,9029
1610831437,9093,9093
1610842528,9143,9143
1610853619,9197,9197
1610864551,9259,9259
1610875677,9320,9320
1610886764,9388,9388
1610897715,9468,9468
1610908788,9530,9530
1610919843,9590,9590
1610930877,9630,9630
1610997346,9736,9736
1611008373,9783,9783
1611019420,9825,9825
1611030483,9853,9853
1611041493,9877,9877
1611052520,9897,9897
1611063618,9926,9926
1611074856,9966,9966
1611085925,10005,10005
1611096963,10033,10033
1611108072,10074,10074
1611124561,10117,10117
1611135499,10172,10172
1611146688,10192,10192
1611157719,10205,10205
1611168947,10238,10238
1611179950,10262,10262
1611191225,10272,10272
1611202305,10292,10292
1611213361,10304,10304
1611224400,10323,10323
1611235376,10336,10336
1611246514,10338,10338
1611257508,10362,10362
1611268521,10383,10383
1611279481,10398,10398
1611290622,10408,10408
1611301678,10429,10429
1611312704,10464,10464
1611323876,10488,10488
1611334786,10512,10512
1611345902,10527,10527
1611357130,10540,10540
1611368091,10554,10554
1611379207,10563,10563
1611390241,10581,10581
1611412548,10400,10400
1611423542,10406,10406
1611434587,10405,10405
1611445613,10421,10421
1611456690,10417,10417
1611467746,10428,10428
1611478773,10436,10436
1611490110,10447,10447
1611501174,10418,10418
1611517744,10544,10544
1611528693,10558,10558
1611539641,10548,10548
1611550554,10551,10551
1611561678,10549,10549
1611572681,10562,10562
1611583930,10579,10579
1611594972,10553,10553
1611605901,10557,10557
1611617036,10548,10548
1611627989,10552,10552
1611638932,10569,10569
1611649894,10555,10555
1611660991,10552,10552
1611671982,10550,10550
1611683048,10555,10555
1611694097,10539,10539
1611704957,10540,10540
1611715889,10522,10522
1611726910,10525,10525
1611738055,10544,10544
1611749036,10539,10539
1611760059,10541,10541
1611771025,10544,10544
1611782154,10529,10529
1611793226,10522,10522
1611804244,10515,10515
1611815462,10512,10512
1611826557,10518,10518
1611837570,10518,10518
1611848576,10522,10522
1611859570,10507,10507
1611870650,10501,10501
1611881764,10505,10505
1611892739,10483,10483
1611903746,10470,10470
1611914835,10485,10485
1611925829,10474,10474
1611936881,10471,10471
1611947960,10466,10466
1611959003,10466,10466
1611970135,10445,10445
1611981106,10443,10443
1611992148,10440,10440
1612003178,10430,10430
1612014297,10428,10428
1612025526,10427,10427
1612036642,10423,10423
1612047552,10413,10413
1612058656,10409,10409
1612069701,10415,10415
1612080339,10410,10410
1612091247,10410,10410
1612102338,10397,10397
1612113402,10404,10404
1612124622,10411,10411
1612135594,10411,10411
1612146690,10408,10408
1612157671,10415,10415
1612168764,10417,10417
1612179815,10417,10417
1612190790,10424,10424
1612201941,10436,10436
1612212958,10417,10417
1612224085,10410,10410
1612235021,10418,10418
1612246206,10430,10430
1612257314,10435,10435
1612268197,10442,10442
1612279072,10456,10456
1612289803,10452,10452
1612300785,10460,10460
1612311996,10458,10458
1612322867,10450,10450
1612333843,10453,10453
1612344946,10462,10462
1612355843,10480,10480
1612366818,10482,10482
1612377800,10501,10501
1612388841,10503,10503
1612399951,10500,10500
1612410962,10509,10509
1612421895,10523,10523
1612432959,10539,10539
1612443873,10505,10505
1612454679,10467,10467
1612465900,10437,10437
1612476914,10413,10413
1612487965,10377,10377
1612499033,10357,10357
1612510058,10365,10365
1612521118,10346,10346
1612532150,10335,10335
1612543148,10345,10345
1612554210,10333,10333
1612565306,10342,10342
1612576326,10350,10350
1612587322,10347,10347
1612598388,10363,10363
1612609441,10361,10361
1612620420,10340,10340
1612631557,10341,10341
1612642427,10322,10322
1612653399,10307,10307
1612664330,10279,10279
1612675413,10252,10252
1612686320,10218,10218
1612697077,10157,10157
1612708076,10106,10106
1612718855,10070,10070
1612729899,10032,10032
1612740930,9978,9978
1612751993,9923,9923
1612763029,9875,9875
1612774071,9791,9791
1612785157,9716,9716
1612796077,9631,9631
1612807262,9532,9532
1612818157,9419,9419
1612829312,9322,9322
1612840581,9216,9216
1612851610,9147,9147
1612862645,9068,9068
1612873689,8982,8982
1612884754,8885,8885
1612895751,8786,8786
1612906800,8644,8644
1612917601,8510,8510
1612928604,8398,8398
1612939658,8297,8297
1612950621,8102,8102
1612961765,7922,7922
1612972776,7787,7787
1612983841,7676,7676
1612994890,7548,7548
1613005956,7422,7422
1613016916,7298,7298
1613027991,7205,7205
1613039064,7107,7107
1613050247,7000,7000
1613061196,6910,6910
1613072161,6813,6813
1613083160,6723,6723
1613094126,6657,6657
1613104879,6580,6580
1613115807,6473,6473
1613126730,6396,6396
1613137676,6332,6332
1613148711,6264,6264
1613159757,6191,6191
1613170692,6144,6144
1613181570,6077,6077
1613192427,6007,6007
1613203442,5940,5940
1613214367,5869,5869
1613225319,5819,5819
1613236319,5772,5772
1613247211,5729,5729
1613258205,5663,5663
1613269188,5622,5622
1613280201,5576,5576
1613291214,5535,5535
1613302309,5487,5487
1613313376,5453,5453
1613324269,5426,5426
1613335203,5390,5390
1613346232,5346,5346
1613357305,5305,5305
1613368282,5277,5277
1613379309,5246,5246
1613390453,5219,5219
1613401438,5201,5201
1613412374,5191,5191
1613423472,5172,5172
1613434475,5141,5141
1613445808,5119,5119
1613456715,5098,5098
1613467648,5074,5074
1613478664,5053,5053
1613489753,5027,5027
1613500697,5006,5006
1613511807,4977,4977
1613522847,4951,4951
1613533889,4956,4956
1613544939,4955,4955
1613556030,4960,4960
1613566991,4951,4951
1613578011,4970,4970
1613589118,4977,4977
1613600165,4949,4949
1613611150,4935,4935
1613622279,4916,4916
1613633282,4903,4903
1613644209,4900,4900
1613655071,4875,4875
1613666382,4849,4849
1613677454,4842,4842
1613688469,4814,4814
1613699331,4789,4789
1613710315,4773,4773
1613721391,4746,4746
1613732566,4719,4719
1613743717,4706,4706
1613754719,4685,4685
1613765710,4660,4660
1613776665,4634,4634
1613787693,4617,4617
1613798559,4605,4605
1613809682,4577,4577
1613820694,4555,4555
1613831756,4536,4536
1613842803,4511,4511
1613853564,4495,4495
1613864670,4491,4491
1613875697,4475,4475
1613886755,4444,4444
1613897760,4414,4414
1613908788,4398,4398
1613919878,4378,4378
1613931100,4359,4359
1613942026,4338,4338
1613953214,4321,4321
1613964169,4323,4323
1613975163,4314,4314
1613985991,4306,4306
1613996647,4317,4317
1614007891,4317,4317
1614018995,4295,4295
1614029884,4276,4276
1614040767,4264,4264
1614051789,4259,4259
1614062778,4257,4257
1614073692,4238,4238
1614084948,4225,4225
1614095950,4219,4219
1614106921,4200,4200
1614117691,4182,4182
1614128675,4165,4165
1614139889,4165,4165
1614150910,4158,4158
1614161951,4137,4137
1614172942,4136,4136
1614184099,4130,4130
1614195114,4122,4122
1614206089,4113,4113
1614217023,4100,4100
1614227991,4097,4097
1614239039,4094,4094
1614249895,4081,4081
1614260842,4085,4085
1614271957,4075,4075
1614282926,4060,4060
1614293909,4061,4061
1614304883,4048,4048
1614315817,4042,4042
1614327124,4033,4033
1614338155,4034,4034
1614349195,4028,4028
1614360268,4008,4008
1614371276,4008,4008
1614382275,3998,3998
1614393350,3988,3988
1614404333,3972,3972
1614415370,3961,3961
