DateTime,Entries,UniqueIPs
1612591228,2874,2874
1612594830,2875,2875
1612598418,2878,2878
1612602031,2880,2880
1612605613,2883,2883
1612609211,2885,2885
1612612806,2886,2886
1612616414,2886,2886
1612620012,2888,2888
1612623626,2889,2889
1612627235,2889,2889
1612630807,2886,2886
1612634406,2886,2886
1612638006,2883,2883
1612641630,2879,2879
1612645214,2880,2880
1612648839,2879,2879
1612652406,2878,2878
1612656020,2877,2877
1612659607,2879,2879
1612663206,2880,2880
1612666825,2887,2887
1612670406,2897,2897
1612674007,2899,2899
1612677619,2901,2901
1612681239,2900,2900
1612684812,2909,2909
1612688409,2902,2902
1612692028,2895,2895
1612695627,2893,2893
1612699206,2895,2895
1612702812,2899,2899
1612706406,2906,2906
1612710030,2909,2909
1612713631,2905,2905
1612717231,2906,2906
1612720807,2907,2907
1612724406,2912,2912
1612728036,2917,2917
1612731618,2920,2920
1612735206,2920,2920
1612738829,2924,2924
1612742440,2931,2931
1612746006,2927,2927
1612749617,2922,2922
1612753208,2920,2920
1612756830,2920,2920
1612760440,2922,2922
1612764007,2924,2924
1612767617,2926,2926
1612771231,2930,2930
1612774840,2932,2932
1612778429,2932,2932
1612782007,2930,2930
1612785611,2932,2932
1612789240,2923,2923
1612792814,2920,2920
1612796415,2916,2916
1612800007,2915,2915
1612803634,2913,2913
1612807207,2909,2909
1612810806,2904,2904
1612814412,2902,2902
1612818006,2895,2895
1612821606,2888,2888
1612825233,2888,2888
1612828812,2880,2880
1612832414,2878,2878
1612836040,2874,2874
1612839606,2864,2864
1612843213,2855,2855
1612846838,2850,2850
1612850406,2847,2847
1612854031,2840,2840
1612857640,2838,2838
1612861206,2838,2838
1612864806,2835,2835
1612868427,2831,2831
1612872014,2827,2827
1612875623,2820,2820
1612879225,2816,2816
1612882810,2810,2810
1612886435,2803,2803
1612890012,2799,2799
1612893606,2798,2798
1612897241,2795,2795
1612900806,2794,2794
1612904440,2792,2792
1612908019,2787,2787
1612911632,2783,2783
1612915228,2775,2775
1612918828,2773,2773
1612922406,2769,2769
1612926013,2728,2728
1612929641,2700,2700
1612933206,2662,2662
1612936830,2627,2627
1612940431,2609,2609
1612944008,2594,2594
1612947611,2584,2584
1612951228,2573,2573
1612954821,2559,2559
1612958407,2540,2540
1612962041,2525,2525
1612965636,2505,2505
1612969240,2493,2493
1612972806,2475,2475
1612976416,2453,2453
1612980008,2434,2434
1612983618,2420,2420
1612987229,2388,2388
1612990816,2364,2364
1612994408,2325,2325
1612998007,2299,2299
1613001621,2269,2269
1613005207,2232,2232
1613008814,2196,2196
1613012436,2156,2156
1613016008,2088,2088
1613019637,2047,2047
1613023218,2032,2032
1613026820,2019,2019
1613030437,2003,2003
1613034006,1986,1986
1613037636,1988,1988
1613041231,1974,1974
1613044806,1957,1957
1613048428,1956,1956
1613052038,1946,1946
1613055607,1925,1925
1613059212,1898,1898
1613062811,1873,1873
1613066406,1834,1834
1613070007,1802,1802
1613073607,1767,1767
1613077209,1722,1722
1613080811,1680,1680
1613084405,1633,1633
1613088011,1586,1586
1613091616,1539,1539
1613095207,1477,1477
1613098823,1424,1424
1613102439,1359,1359
1613106006,1289,1289
1613109633,1237,1237
1613113221,1206,1206
1613116806,1164,1164
1613120406,1136,1136
1613124012,1097,1097
1613127625,1074,1074
1613131237,1055,1055
1613134806,1046,1046
1613138439,1013,1013
1613142013,972,972
1613145639,938,938
1613149225,901,901
1613152823,854,854
1613156418,802,802
1613160006,736,736
1613163637,688,688
1613167234,642,642
1613170839,637,637
1613174409,643,643
1613178038,647,647
1613181621,656,656
1613185206,663,663
1613188821,672,672
1613192439,670,670
1613196036,668,668
1613199612,676,676
1613203227,672,672
1613206815,668,668
1613210406,666,666
1613214014,665,665
1613217609,667,667
1613221212,669,669
1613224811,669,669
1613228426,662,662
1613232039,661,661
1613239207,661,661
1613242810,659,659
1613246408,658,658
1613250015,659,659
1613253623,659,659
1613257215,660,660
1613260809,660,660
1613264434,656,656
1613268016,654,654
1613271610,635,635
1613275210,613,613
1613278840,609,609
1613282439,604,604
1613286040,605,605
1613289636,600,600
1613293227,598,598
1613296825,596,596
1613300406,600,600
1613304013,598,598
1613307627,596,596
1613311234,592,592
1613314824,596,596
1613318420,597,597
1613322013,590,590
1613325612,583,583
1613329232,580,580
1613332806,573,573
1613336431,568,568
1613340006,563,563
1613343639,556,556
1613347233,550,550
1613350807,566,566
1613354424,566,566
1613358010,570,570
1613361629,574,574
1613365217,577,577
1613368810,575,575
1613372418,581,581
