DateTime,AddedIPs,RemovedIPs
1612479609,0,3
1612483231,1,2
1612486806,0,1
1612490437,1,2
1612494011,0,2
1612497611,3,0
1612501211,40,3
1612504806,1,2
1612508429,2,1
1612512006,3,2
1612515612,1,1
1612519209,4,1
1612522829,1,0
1612530006,1,0
1612533630,0,1
1612537206,0,5
1612540805,2,1
1612544413,1,2
1612548020,0,1
1612555213,1,0
1612558805,1,3
1612562434,2,0
1612566018,5,2
1612569630,3,4
1612573235,3,3
1612580436,1,1
1612584006,1,1
1612587633,1,2
1612594830,1,2
1612598410,1,1
1612602011,2,1
1612605639,2,3
1612609210,1,49
1612612831,1,1
1612616411,1,0
1612620032,1,0
1612623611,4,1
1612627212,1,2
1612630834,0,1
1612634434,1,1
1612638036,1,0
1612641606,4,1
1612645230,2,0
1612648816,11,2
1612652437,36,1
1612656025,6,4
1612663218,0,1
1612666831,2,1
1612670409,1,3
1612674006,0,2
1612681237,1,2
1612688409,2,4
1612692014,1,0
1612695636,1,0
1612702809,0,3
1612706423,0,3
1612710034,0,40
1612713605,1,0
1612720811,5,1
1612724406,2,0
1612728011,1,1
1612731615,6,5
1612735213,40,38
1612738806,1,4
1612742424,1,3
1612746016,32,4
1612749631,2,1
1612753238,6,12
1612756828,0,49
1612760406,1,44
1612764031,0,11
1612771237,0,3
1612778426,1,2
1612782012,2,2
1612785606,1,2
1612789238,1,0
1612792807,0,1
1612800007,2,3
1612803615,4,0
1612810805,1,43
1612814406,4,2
1612818020,2,3
1612821617,5,3
1612825210,0,2
1612828805,2,3
1612832431,2,2
1612836039,48,0
1612839612,1,2
1612843240,2,6
1612846819,36,2
1612850414,0,1
1612854010,0,1
1612857612,1,1
1612861206,0,1
1612864812,0,1
1612868439,3,1
1612872032,1,1
1612879220,1,0
1612882822,0,1
1612890035,1,1
1612893626,2,0
1612897239,1,0
1612900831,6,3
1612904429,0,33
1612908006,0,1
1612911610,3,1
1612915227,1,3
1612918825,0,3
1612922431,0,1
1612926036,1,2
1612929640,3,2
1612933234,9,0
1612936808,6,4
1612940430,6,3
1612944025,4,1
1612947615,13,0
1612951214,33,2
1612954833,5,0
1612958407,1,1
1612962038,6,1
1612965618,1,2
1612969240,2,2
1612972840,2,1
1612976430,2,0
1612980006,1,0
1612983634,1,1
1612987226,1,3
1612990821,2,0
1612994411,3,3
1612998008,0,3
1613001635,1,1
1613005208,3,3
1613008806,2,1
1613012439,1,36
1613016012,6,1
1613019613,3,3
1613023214,1,3
1613026835,3,2
1613030439,5,0
1613037606,3,4
1613041217,29,1
1613044811,0,8
1613048439,1,29
1613052006,0,1
1613055615,3,2
1613059212,1,0
1613062809,2,0
1613066437,0,2
1613070009,1,0
1613077214,4,4
1613080807,2,2
1613084409,4,6
1613088036,2,2
1613091624,2,1
1613095232,4,2
1613098824,5,0
1613102432,1,2
1613106005,4,32
1613109632,0,1
1613113206,4,0
1613116830,0,4
1613120420,1,0
1613124040,3,1
1613127639,1,2
1613134805,0,1
1613138412,0,2
1613145615,1,2
1613149238,2,2
1613152806,1,2
1613156436,2,0
1613160036,3,1
1613163637,4,2
1613167238,7,1
1613170812,5,5
1613174422,6,2
1613178030,2,3
1613181627,2,0
1613185234,4,0
1613188813,5,2
1613192422,14,1
1613196011,11,0
1613199624,4,1
1613203206,24,0
1613206827,6,2
1613210438,1,3
1613214039,1,0
1613221220,1,2
1613228439,1,1
1613232026,0,1
1613235605,1,1
1613239210,1,2
1613242838,3,2
1613246415,0,2
1613250035,1,1
1613253630,0,9
1613257238,9,33
1613260815,5,2
1613264406,3,1
1613268006,5,1
1613271608,3,1
1613275206,4,2
1613278807,0,8
1613282440,2,0
1613286019,26,2
1613289606,18,0
1613293238,27,1
1613296826,9,3
1613300440,2,0
1613304010,6,0
1613307627,4,0
1613311238,5,0
1613314825,1,2
1613318406,3,0
1613322022,0,1
1613325606,2,5
1613329217,4,1
1613332814,5,3
1613336405,3,2
1613340011,26,20
1613347205,0,1
1613350827,2,27
1613354414,6,2
1613358006,5,5
1613361605,1,3
1613365206,3,0
1613368837,4,0
1613372407,1,1
1613376034,0,1
1613379615,1,0
1613383239,1,0
1613386841,0,1
1613390407,1,0
1613397606,37,2
1613401239,8,1
1613404837,0,4
