DateTime,AddedIPs,RemovedIPs
1612627268,119,71
1612630859,78,63
1612634456,92,65
1612638069,102,73
1612641668,91,64
1612645269,99,58
1612648868,97,93
1612652435,88,65
1612656037,70,63
1612659635,79,70
1612663268,64,87
1612666864,94,80
1612670434,55,69
1612674039,71,75
1612677635,50,83
1612681234,66,51
1612684834,88,96
1612688438,45,69
1612692069,87,114
1612695668,88,95
1612699239,91,72
1612702861,92,77
1612706435,227,63
1612710069,128,74
1612713635,135,57
1612717239,166,67
1612720840,127,33
1612724436,148,57
1612728070,413,70
1612731635,258,88
1612735263,147,93
1612738836,169,91
1612742436,123,75
1612746037,111,82
1612749640,161,92
1612753240,113,95
1612756834,135,94
1612760459,139,87
1612764039,127,69
1612767659,112,95
1612771260,134,84
1612774839,123,85
1612778436,123,99
1612782040,150,108
1612785661,130,73
1612789239,126,83
1612792840,152,172
1612796469,92,113
1612800052,112,116
1612803660,120,123
1612807267,104,101
1612810868,137,95
1612814435,116,58
1612818038,126,104
1612821640,156,106
1612825268,117,91
1612828870,109,71
1612832459,133,84
1612836070,143,105
1612839670,99,102
1612843237,98,108
1612846839,106,76
1612850439,99,84
1612854038,119,88
1612857637,129,120
1612861268,118,84
1612864840,118,74
1612868440,112,92
1612872070,154,88
1612875638,113,112
1612879270,103,129
1612882870,128,104
1612886470,94,92
1612890069,123,99
1612893639,100,101
1612897270,117,108
1612900871,98,96
1612904470,102,90
1612908070,121,83
1612911670,116,80
1612915271,105,100
1612918840,97,69
1612922469,127,97
1612926038,102,90
1612929663,145,93
1612933261,126,91
1612936868,130,75
1612940439,112,127
1612944071,114,199
1612947640,106,161
1612951239,129,102
1612954840,119,114
1612958439,105,88
1612962035,131,126
1612965663,122,94
1612969270,161,115
1612972859,124,123
1612976469,120,113
1612980070,102,117
1612983635,107,98
1612987262,108,81
1612990865,91,82
1612994470,105,91
1612998069,105,67
1613001635,78,75
1613005256,99,70
1613008840,110,96
1613012470,103,104
1613016040,97,75
1613019668,151,78
1613023239,116,94
1613026840,101,95
1613030458,110,93
1613034039,106,84
1613037638,59,84
1613041270,124,91
1613044839,156,85
1613048470,70,86
1613052039,100,76
1613055636,461,92
1613059238,223,94
1613062838,190,74
1613066439,129,60
1613070039,107,101
1613073653,104,97
1613077270,115,107
1613080839,121,107
1613084470,79,91
1613088058,100,70
1613091664,80,79
1613095236,151,134
1613098859,69,91
1613102470,77,100
1613106069,100,84
1613109668,84,69
1613113235,106,114
1613116870,135,89
1613120457,143,82
1613124068,56,83
1613127638,126,97
1613131239,81,82
1613134835,96,92
1613138435,124,85
1613142038,84,97
1613145634,174,84
1613149234,125,94
1613152835,171,75
1613156439,153,76
1613160038,145,81
1613163661,166,113
1613167234,191,123
1613170869,157,66
1613174468,126,91
1613178035,148,71
1613181661,144,88
1613185238,129,73
1613188838,112,86
1613192470,114,89
1613196039,134,96
1613199670,109,120
1613203236,141,91
1613206862,126,71
1613210435,163,46
1613214068,147,93
1613217640,147,95
1613221268,115,68
1613224838,168,109
1613228464,160,101
1613232039,156,120
1613235664,151,69
1613239236,142,83
1613242870,148,83
1613246440,110,86
1613250034,96,86
1613253658,102,99
1613257240,124,84
1613260869,111,78
1613264434,104,75
1613268035,121,54
1613271659,131,92
1613275270,126,67
1613278870,146,66
1613282468,120,64
1613286039,149,74
1613289663,108,85
1613293263,113,58
1613296839,130,92
1613300439,143,84
1613304034,145,98
1613307639,191,90
1613311270,150,90
1613314865,217,113
1613318438,275,73
1613322064,225,95
1613325638,110,75
1613329238,172,114
1613332838,197,257
1613336470,162,230
1613340039,145,108
1613343635,155,121
1613347269,196,88
1613350864,143,85
1613354465,164,157
1613358037,113,105
1613361638,163,120
1613365240,161,108
1613368835,152,109
1613372439,156,113
1613376038,139,100
1613379640,129,106
1613383236,119,107
1613386872,150,127
1613390440,185,135
1613394036,91,99
1613397641,120,126
1613401271,193,92
1613404841,116,85
1613408473,346,97
1613412041,245,76
1613415640,101,140
1613419237,123,93
1613422842,120,116
1613426474,112,130
1613430041,112,96
1613433642,137,85
1613437242,129,118
1613440875,163,121
1613444442,125,84
1613448040,161,99
1613451639,154,95
1613455275,128,88
1613458841,78,104
1613462442,216,113
1613466037,178,119
1613469672,334,132
1613473265,90,109
1613476875,287,149
1613480474,417,109
1613484042,156,109
1613487674,396,120
1613491243,239,84
1613494863,182,114
1613498467,280,95
1613502038,374,92
1613505639,119,90
1613509241,43,103
1613512841,55,133
1613516441,47,92
1613520074,98,94
1613523674,209,104
1613527270,202,125
1613530875,148,105
1613534441,198,133
1613538068,112,120
1613541673,96,121
1613545270,47,115
1613548841,58,127
1613552475,57,124
1613556043,56,125
1613559641,55,110
1613563268,66,127
1613566838,62,119
1613570469,72,126
1613574072,77,159
1613577673,59,117
1613581273,56,105
1613584870,42,103
1613588472,53,110
1613592072,55,107
1613595642,54,88
1613599238,71,99
1613602876,72,103
1613606438,73,70
1613610075,66,95
1613613669,81,96
1613617269,52,82
1613620873,73,79
1613624470,69,119
1613628042,67,112
1613631673,65,112
1613635271,62,90
1613638842,90,109
1613642473,66,49
1613646038,65,112
1613649642,58,151
1613653241,73,63
1613656840,86,89
1613660473,81,406
1613664073,61,248
1613667641,53,232
1613671237,65,112
1613674873,61,95
1613678438,52,76
1613682072,92,93
1613685673,60,113
1613689272,52,83
1613692869,61,88
1613696467,61,84
1613700070,61,137
1613703674,64,68
1613707243,78,86
1613710842,66,93
1613714474,69,76
1613718040,64,87
1613721642,59,113
1613725274,72,149
1613728841,72,63
1613732438,64,102
1613736074,54,69
1613739643,63,94
1613743266,47,130
1613746876,37,83
1613750438,38,156
1613754075,51,116
1613757674,45,131
1613761273,58,93
1613764844,57,117
1613768477,49,143
1613772075,53,174
1613775638,49,135
1613779244,52,127
1613782876,40,127
1613786441,43,130
1613790067,69,119
1613793677,59,109
1613797243,72,116
1613800841,56,140
1613804469,60,119
1613808042,41,131
1613811644,37,114
1613815244,42,158
1613818839,43,150
1613822475,51,152
1613826041,139,110
1613829675,58,155
1613833273,48,147
1613836842,51,163
1613840444,55,152
1613844071,58,118
1613847641,44,125
1613851267,48,128
1613854843,64,93
1613858475,82,120
1613862042,67,126
1613865643,69,116
1613869271,61,114
1613872871,56,129
1613876471,72,126
1613880073,53,131
1613883675,55,120
1613887276,63,124
1613890875,60,145
1613894444,59,114
1613898043,53,145
1613901673,66,126
1613905244,54,168
1613908877,67,177
1613912443,67,222
1613916077,47,202
1613919643,58,168
1613923243,35,130
1613926839,61,190
1613930438,49,122
1613934042,56,99
1613937676,56,124
1613941271,54,185
1613944877,58,86
1613948477,44,137
1613952040,54,182
1613955639,59,130
1613959277,81,150
1613962866,65,151
1613966443,49,163
1613970077,65,186
1613973665,74,166
1613977275,57,173
1613980839,57,145
1613984442,69,147
1613988076,59,175
1613991675,54,168
1613995275,43,214
1613998864,44,103
1614002475,47,140
1614006043,54,200
1614009641,46,109
1614013243,60,277
1614016840,40,267
1614020438,66,131
1614024073,61,110
1614027673,65,150
1614031236,47,142
1614034863,39,135
1614038473,76,150
1614042042,68,151
1614045666,70,170
1614049240,70,147
1614052874,52,180
1614056464,65,169
1614060041,69,169
1614063674,73,106
1614067274,80,218
1614070872,73,216
1614074473,68,357
1614078071,81,86
1614081665,63,303
1614085241,72,465
1614088872,54,211
1614092461,64,479
1614096040,44,350
1614099640,37,199
1614103241,47,290
1614106840,42,1112
1614110465,66,475
1614114058,57,83
1614117671,68,99
1614121240,53,57
1614124857,51,207
1614128441,43,405
1614132036,100,498
1614135638,105,340
1614139240,72,663
1614142840,81,330
1614146438,57,362
1614150058,79,65
1614153664,75,67
1614157237,53,83
1614160842,63,77
1614164469,68,71
1614168040,50,61
1614171640,52,74
1614175240,54,94
1614178870,112,78
1614182436,69,81
1614186037,53,64
1614189641,42,52
1614193240,38,53
1614196840,56,63
1614200470,68,55
1614204071,72,73
1614207639,51,69
1614211271,54,69
1614214837,45,70
1614218440,66,89
1614222062,56,67
1614225639,48,77
1614229236,55,70
1614232840,65,88
1614236468,68,70
1614240040,57,62
1614243664,58,103
1614247240,56,77
1614250862,74,78
1614254472,59,69
1614258040,47,71
1614261672,42,83
1614265240,50,80
1614268840,51,84
1614272438,39,62
1614276072,42,53
1614279642,67,69
1614283261,49,62
1614286841,55,84
1614290470,92,66
1614294040,49,41
1614297671,50,72
1614301262,47,77
1614304860,50,91
1614308440,69,64
1614312063,67,84
1614315668,47,72
1614319240,54,86
1614322837,62,79
1614326470,56,80
1614330072,61,76
1614333662,65,93
1614337240,52,66
1614340840,68,75
1614344458,66,73
1614348071,53,76
1614351670,45,45
1614355270,55,55
1614358841,43,45
1614362471,42,56
1614366038,52,58
1614369641,69,69
1614373268,52,52
1614376836,46,58
1614380440,55,64
1614384070,49,60
1614387657,31,60
1614391242,155,48
1614394872,50,89
1614398441,43,63
1614402041,55,72
1614405637,56,63
1614409264,54,52
1614412871,84,45
1614416472,49,51
1614420067,62,58
1614423667,62,54
