DateTime,AddedIPs,RemovedIPs
1612627404,0,2
1612631004,4,0
1612634604,0,6
1612638095,5,3
1612641805,3,5
1612645320,1,3
1612649004,5,2
1612652495,0,2
1612656204,2,2
1612659804,3,1
1612663403,1,2
1612667005,3,2
1612670606,5,2
1612674204,1,2
1612677806,2,2
1612681295,1,2
1612685005,2,1
1612688522,1,4
1612692205,2,0
1612695720,3,0
1612699322,4,2
1612702894,5,2
1612706503,3,1
1612710204,3,1
1612713803,2,5
1612717322,10,0
1612720896,2,0
1612724605,1,2
1612728204,2,0
1612731722,3,0
1612735406,3,1
1612739005,0,1
1612742505,4,1
1612746124,2,2
1612749806,5,1
1612753297,2,2
1612756897,7,3
1612760605,3,1
1612764096,1,2
1612767805,2,5
1612771411,4,2
1612775006,6,1
1612778506,4,2
1612782097,1,3
1612785697,2,0
1612789297,6,5
1612793006,2,3
1612796497,2,1
1612800206,4,3
1612803804,0,5
1612807415,6,3
1612810905,2,0
1612814604,2,3
1612818106,0,3
1612821804,3,2
1612825323,2,5
1612829004,4,7
1612832523,4,2
1612836098,4,2
1612839804,1,3
1612843307,4,1
1612847004,3,1
1612850505,1,6
1612854204,2,3
1612857806,4,2
1612861403,4,4
1612865005,2,4
1612868508,7,4
1612872206,1,1
1612875697,1,8
1612879405,1,5
1612883006,2,3
1612886605,4,2
1612890203,2,2
1612893697,2,2
1612897406,0,3
1612900924,1,10
1612904507,1,22
1612908204,4,3
1612911707,2,9
1612915298,1,8
1612919007,1,0
1612922604,2,0
1612926124,1,1
1612929804,3,3
1612933406,5,0
1612936926,1,1
1612940604,1,4
1612944108,4,7
1612947704,4,5
1612951405,5,5
1612955006,5,4
1612958604,2,1
1612962105,14,11
1612965805,7,1
1612969307,7,4
1612973004,3,7
1612976605,9,3
1612980205,1,5
1612983697,7,2
1612987406,7,1
1612991006,2,0
1612994604,3,6
1612998098,3,1
1613001804,2,6
1613005404,2,3
1613009004,4,3
1613012498,0,7
1613016125,2,0
1613019725,1,3
1613023406,7,5
1613026898,2,5
1613030506,5,2
1613034205,3,2
1613037706,8,4
1613041404,2,3
1613044908,4,2
1613048525,4,1
1613052126,4,20
1613055805,3,36
1613059406,20,32
1613063005,32,3
1613066606,27,3
1613070214,3,4
1613073808,3,3
1613077406,3,6
1613080898,2,1
1613084606,3,5
1613088205,1,0
1613091807,0,4
1613095407,2,2
1613098925,1,3
1613102525,5,3
1613106208,1,3
