DateTime,AddedIPs,RemovedIPs
1612672303,71,74
1612677696,64,76
1612679466,54,56
1612683073,46,45
1612688515,48,40
1612690269,38,44
1612693977,34,41
1612697471,42,41
1612702882,45,49
1612704665,55,48
1612710092,23,41
1612711888,35,37
1612715588,42,41
1612719070,38,63
1612722681,52,41
1612728080,72,41
1612731665,34,83
1612737068,69,84
1612740690,50,36
1612742473,86,85
1612744276,101,88
1612749667,75,33
1612751507,38,49
1612757018,39,51
1612758703,75,82
1612764083,56,66
1612765894,43,52
1612769475,37,41
1612773071,52,27
1612776674,46,32
1612782093,29,39
1612785700,50,49
1612787494,50,37
1612791082,40,45
1612792892,36,42
1612798269,33,40
1612801882,44,79
1612805470,81,42
1612810883,40,64
1612812680,45,58
1612814480,44,39
1612819875,121,83
1612821676,58,66
1612825506,49,149
1612830677,195,48
1612834271,87,60
1612837866,52,65
1612841477,58,76
1612845087,81,94
1612848666,67,63
1612852290,79,72
1612857672,61,33
1612859478,52,56
1612863067,45,60
1612866673,51,55
1612870275,46,46
1612873875,47,153
1612879332,112,69
1612881097,68,59
1612882886,73,139
1612884669,139,73
1612886487,73,139
1612888273,47,69
1612890075,69,47
1612891895,94,101
1612895482,48,44
1612899070,46,47
1612904518,67,92
1612911688,73,71
1612917065,126,105
1612920700,86,52
1612926094,53,64
1612927875,64,68
1612933305,84,96
1612935101,61,71
1612936910,71,58
1612938674,58,71
1612940466,107,96
1612944074,45,57
1612947674,99,85
1612949478,81,95
1612953076,52,58
1612958484,43,50
1612960303,59,84
1612963891,61,52
1612967500,78,46
1612971091,39,88
1612974675,63,76
1612976474,44,91
1612980131,98,84
1612985466,54,56
1612989085,40,115
1612992704,39,37
1612996306,53,53
1612999902,31,45
1613003472,69,47
1613007083,77,42
1613008877,60,67
1613016076,50,51
1613017883,66,95
1613023276,57,58
1613026878,90,87
1613030474,39,46
1613037669,49,49
1613039492,54,46
1613044879,30,56
1613048469,42,54
1613052098,48,39
1613053891,38,45
1613059270,27,47
1613061086,54,47
1613066484,39,38
1613068276,39,38
1613071873,39,44
1613075504,29,38
1613079091,44,37
1613082674,41,33
1613084477,16,3063
1613086313,3049,0
1613089874,82,44
1613093466,75,37
1613097069,33,44
1613098882,51,45
1613104300,67,84
1613106125,44,52
1613113284,48,43
1613115092,23,71
1613118672,76,35
1613122271,35,34
1613127671,30,53
1613131320,23,31
1613133085,32,37
1613136692,31,32
1613138574,32,31
1613140295,60,62
1613143877,27,37
1613147469,38,42
1613149398,31,62
1613154674,40,35
1613158275,52,32
1613161900,24,65
1613167283,43,32
1613169070,35,46
1613172689,32,38
1613176272,74,34
1613181673,78,46
1613183491,37,44
1613188889,50,58
1613192483,69,77
1613196080,51,63
1613199707,54,48
1613201464,28,35
1613206923,61,55
1613212265,34,36
1613217745,26,36
1613219478,35,42
1613223066,36,34
1613226683,25,54
1613232114,40,40
1613235729,39,34
1613237474,30,39
1613239270,39,30
1613241104,60,84
1613246472,111,68
1613251897,36,34
1613257349,35,40
1613259136,38,39
1613262673,79,42
1613266282,84,40
1613269909,41,49
1613271703,49,41
1613273478,77,92
1613277097,69,84
1613282482,65,72
1613284272,55,40
1613287875,32,33
1613291478,38,37
1613295085,33,21
1613300495,28,33
1613302301,34,36
1613305883,31,43
1613309470,38,33
1613313098,27,56
1613318473,36,38
1613320284,42,43
1613323877,29,47
1613327495,44,42
1613331073,38,35
1613334807,46,55
1613338294,18,32
1613341884,37,34
1613345475,37,37
1613350870,77,41
1613354469,73,39
1613358100,39,45
1613359865,50,56
1613365276,65,78
1613367069,51,69
1613370686,56,42
1613374266,31,36
1613376168,33,767
1613377909,733,0
1613381472,31,31
1613386874,42,46
1613388669,37,38
1613392280,33,44
1613395870,38,37
1613399471,31,47
1613403092,27,27
1613406678,47,37
1613412080,32,35
1613417492,65,63
1613421115,31,38
1613426466,35,42
1613428281,48,52
1613431893,42,43
1613437307,76,37
1613439071,69,46
1613444476,47,38
1613446275,104,55
