DateTime,AddedIPs,RemovedIPs
1613637225,192,27
1613639087,17,0
1613639702,309,0
1613641963,17,67
1613643302,169,0
1613643961,19,20
1613645807,12,23
1613646902,203,0
1613650609,19,23
1613652501,20,19
1613654458,439,0
1613657341,41,21
1613661142,32,24
1613661301,340,0
1613663113,29,8
1613665272,17,15
1613667151,28,16
1613669058,323,10
1613670991,21,0
1613672935,18,11
1613675817,16,22
1613677714,211,7
1613679880,20,10
1613680202,322,0
1613682744,11,10
1613683802,142,0
1613684693,12,12
1613686593,12,12
1613687402,83,0
1613688552,13,6
1613690461,12,8
1613691371,36,0
1613692376,19,8
1613694270,17,7
1613694602,233,3736
1613696205,20,12
1613700091,27,27
1613701937,25,15
1613702884,195,90
1613703871,13,9
1613705779,14,15
1613706725,41,45
1613707767,220,24
1613709624,15,20
1613711556,20,17
1613713500,209,0
1613714416,13,28
1613715401,29,0
1613717299,15,28
1613718029,829,846
1613719254,288,25
1613721136,15,22
1613723063,21,18
1613725015,31,18
1613725202,292,0
1613726899,29,16
1613728864,23,21
1613731697,27,14
1613732403,282,0
1613733645,20,14
1613735543,18,0
1613737497,22,19
1613739389,24,15
1613739603,402,0
1613741334,14,21
1613743305,24,0
1613745194,8,31
1613747072,209,0
1613749038,15,18
1613750900,16,18
1613751302,320,0
1613752849,22,10
1613754807,17,15
1613756652,18,16
1613758597,16,19
1613760553,284,13
1613762417,19,15
1613764351,16,9
1613766298,284,12
1613768244,20,0
1613770157,20,10
1613773261,141,27
1613775146,18,13
1613775847,33,33
1613776503,217,0
1613779996,16,36
1613781877,21,15
1613783833,16,12
1613784602,240,4055
1613785699,22,0
1613787367,39,0
1613787711,18,25
1613789572,20,15
1613791612,14,20
1613791801,270,0
1613793694,18,10
1613795049,37,79
1613795785,124,19
1613797947,13,13
1613798884,15,0
1613799980,15,33
1613801927,35,21
1613802602,209,0
1613803963,27,20
1613805854,21,25
1613807876,30,14
1613809707,838,844
1613809802,305,0
1613811913,15,29
1613813785,22,32
1613815724,23,23
1613817657,366,0
1613819530,16,20
1613821457,20,18
1613823418,20,12
1613824202,256,0
1613825298,14,13
1613827206,14,18
1613829174,12,13
1613831060,12,16
1613832303,284,0
1613833961,6,23
1613835912,7,11
1613837807,160,18
1613839732,147,19
1613841646,10,12
1613843102,115,0
1613843543,11,13
1613845563,14,11
1613846701,116,0
1613847399,14,24
1613849320,7,13
1613850302,84,0
1613851262,9,14
1613857017,15,58
1613857502,220,0
1613858911,5,0
1613860850,10,3
1613862773,8,15
1613864720,50,67
1613866764,219,11
1613868842,15,16
1613870934,9,9
1613871902,209,3230
1613873779,19,17
1613875757,11,15
1613876200,36,77
1613877675,13,13
1613879588,130,10
1613880017,42,0
1613881488,6,17
1613883407,16,9
1613885339,199,15
1613887259,13,17
1613887725,4,20
1613889426,20,32
1613891354,114,17
1613893217,26,28
1613894402,283,0
1613895139,26,19
1613897077,27,20
1613898002,102,0
1613899949,19,15
1613901164,885,803
1613901932,131,20
1613903805,12,17
1613905202,142,0
1613905747,11,19
1613907669,14,16
1613909555,20,16
1613911727,14,43
1613912403,280,0
1613913659,13,14
1613916003,106,0
1613917026,10,18
1613918910,20,15
1613921064,25,9
1613922985,19,6
1613923202,230,0
1613924958,18,15
1613927808,12,15
1613929703,9,10
1613930402,233,0
1613931870,15,12
1613933813,14,37
1613935699,14,0
1613937659,11,11
1613940560,266,16
1613942431,5,0
1613944346,12,11
1613944803,208,0
1613946301,7,6
1613948211,11,6
1613949367,30,0
1613950148,13,8
1613952047,11,20
1613952902,198,3069
1613954001,7,9
1613956868,14,19
1613958751,17,5
1613960714,218,16
1613961132,29,0
1613962586,7,9
1613964969,40,37
1613965469,14,15
1613967416,194,8
1613970311,11,26
1613972199,191,11
1613972652,13,0
1613974149,7,16
1613976019,177,23
1613978000,25,31
1613979890,23,25
1613981775,162,25
1613984402,287,0
1613985860,32,31
1613987812,27,19
1613988002,185,0
1613991602,114,0
1613992578,10,62
1613992849,862,893
1613994501,10,16
1613995202,178,0
1613996474,11,29
1613998340,17,19
1613998802,131,0
1614001268,11,23
1614002402,157,0
1614003184,13,0
1614005066,14,10
1614006985,11,18
1614009866,27,44
1614013718,284,19
1614015631,6,13
1614017593,304,8
1614019463,9,12
1614021386,15,13
1614023339,7,16
1614024003,245,0
1614025235,6,9
1614027146,20,15
1614030986,17,18
1614033135,132,7
1614035140,9,10
1614035702,292,0
1614036983,9,12
1614038428,30,63
1614038950,10,10
1614039302,100,2944
1614040895,10,9
1614042804,21,0
1614042901,120,0
1614044753,16,15
1614046327,36,37
1614046612,140,15
1614048665,15,10
1614050700,8,16
1614053617,15,12
1614054067,307,82
1614055459,10,10
1614057849,17,14
1614058398,15,11
1614060269,9,4
1614060902,283,0
1614062210,29,7
1614064103,43,12
1614066014,17,21
1614067971,14,26
1614068103,260,0
1614069865,9,21
