DateTime,AddedIPs,RemovedIPs
1614056524,2,0
1614057724,17,0
1614058263,44,56
1614058924,6,0
1614060124,4,0
1614060724,7,0
1614061324,2,1
1614061925,38,26
1614061981,3,1
1614063724,27,21
1614064324,1,0
1614066124,3,0
1614066724,3,0
1614067988,2,0
1614068524,1,0
1614069068,23,25
1614069182,0,1
1614069725,2,0
1614070324,1,1
1614070924,4,0
1614071524,3,0
1614072124,2,0
1614072679,15,20
1614073324,4,0
1614074524,5,0
1614075124,1,0
1614076273,17,15
1614076924,3,0
1614077524,1,0
1614078724,1,0
1614079323,2,0
1614079982,21,17
1614081724,1,0
1614082324,1,0
1614082923,3,0
1614083524,21,17
1614084124,2,0
1614084724,2,0
1614085324,12,0
1614087074,26,29
1614087181,3,0
1614088324,9,0
1614088924,20,16
1614089524,1,0
1614090781,1,0
1614091924,6,1
1614092524,2,0
1614093724,1,0
1614094265,17,16
1614094382,1,0
1614094924,1,0
1614096124,2,0
1614096934,2,0
1614097324,1,0
1614097981,1,0
1614098524,4,0
1614099723,27,23
1614100924,8,0
1614101524,2,0
1614102123,2,0
1614103323,25,33
1614104524,1,0
1614105124,20,23
1614105811,5,0
1614106924,3,0
1614107524,2,0
1614108782,27,30
1614109323,4,0
1614110523,1,0
1614111124,1,0
1614111724,1,0
1614112381,1,0
1614112924,3,0
1614114124,23,33
1614115324,4,0
1614115924,23,22
1614116524,5,1
1614117124,1,0
1614117724,3,0
1614118924,4,1
1614119525,5,0
1614120124,4,0
1614120724,18,14
1614121324,4,0
1614122524,4,0
1614123724,7,0
1614124324,1,0
1614126179,9,0
1614127924,3,0
1614128524,8,0
1614129724,64,38
1614130381,46,21
1614130924,2,0
1614132124,4,0
1614132724,5,0
1614133324,3,0
1614133906,15,25
1614133981,2,0
1614134524,1,0
1614135124,3,0
1614135724,1,0
1614136924,6,0
1614138124,2,0
1614138354,1,0
1614139324,42,44
1614139924,1,0
1614141098,53,59
1614141181,6,1
1614141724,1,0
1614142324,1,0
1614142924,1,0
1614143524,2,0
1614144124,1,0
1614144674,45,50
1614145324,4,0
1614146525,54,45
1614147124,3,0
1614147724,1,0
1614148290,71,73
1614148382,8,0
1614149524,1,0
1614150123,3,0
1614151324,3,0
1614151865,18,15
1614151982,1,0
1614152524,1,0
1614153123,1,0
1614153724,18,18
1614154323,1,0
1614154923,3,1
1614156124,1,0
1614157323,4,0
1614158524,1,0
1614159124,17,14
1614160924,1,0
1614162669,15,18
1614163324,4,0
1614164524,3,0
1614165724,3,0
1614166325,3,0
1614166923,1,0
1614167524,2,0
1614168124,19,21
1614169324,7,0
1614169905,20,19
1614169981,13,0
1614170524,4,0
1614171724,1,0
1614172324,1,0
1614172924,3,0
1614173525,3,0
1614174124,1,1
1614174724,4,0
1614175324,30,18
1614176524,2,0
1614177181,2,0
1614177724,2,0
1614178912,15,25
1614178924,1,1
1614180124,9,0
1614181324,3,0
1614181924,4,0
1614182524,19,16
1614183124,4,0
1614183725,6,0
1614184324,29,18
1614184924,3,0
1614186124,3,0
1614186724,1,0
1614187324,4,0
1614187924,24,22
1614188525,7,0
1614189124,3,0
1614189724,12,0
1614190325,2,0
1614190924,1,0
1614191473,29,38
1614192124,2,0
1614193325,10,0
1614193924,2,0
1614194524,12,0
1614195124,22,23
1614195724,1,0
1614196324,1,0
1614196924,5,0
1614197524,1,0
1614198124,1,0
1614199324,21,0
1614199924,1,0
1614200525,30,21
1614201124,5,0
1614201724,2,0
1614202289,23,17
1614202925,6,1
1614203525,2,0
1614204124,9,0
1614205324,6,0
1614205874,24,29
1614205981,6,0
1614207725,3,0
1614208324,2,0
1614208924,5,0
1614209476,21,17
1614209582,2,0
1614210125,2,0
1614211324,13,0
1614212524,9,0
1614213124,46,19
1614213725,2,0
1614214325,6,0
1614215524,22,46
1614216667,88,34
1614217324,4,0
1614218524,7,0
1614219124,1,0
1614219724,2,0
1614220324,25,24
1614220924,4,0
1614222125,5,0
1614222724,5,0
1614223324,2,2
1614223880,45,47
1614223981,1,0
1614224524,5,0
1614225725,6,0
1614226924,4,0
1614228125,7,0
1614228725,1,0
1614229324,88,95
1614229925,1,0
1614230524,2,0
1614231724,5,0
1614233040,5,1
1614234124,9,0
1614234689,52,39
1614234781,3,0
1614235324,1,0
1614235924,2,0
1614236524,71,80
1614237124,7,0
1614237725,1,0
1614238298,25,25
1614238382,2,2
