DateTime,AddedIPs,RemovedIPs
1614008524,6,0
1614009124,3,0
1614009724,4,0
1614010924,3,0
1614011525,1,0
1614012124,2,0
1614013324,2,0
1614013925,2,0
1614015181,3,0
1614015724,3,0
1614016924,1,1
1614018124,5,0
1614019324,1,0
1614020524,3,0
1614021724,1,0
1614022381,6,0
1614022924,3,0
1614024124,2,0
1614024725,2,0
1614025324,2,0
1614026524,2,0
1614027724,1,0
1614028924,7,0
1614029581,3,0
1614030124,1,0
1614031324,5,0
1614031925,3,0
1614032524,3,0
1614033125,3,0
1614033724,1,0
1614034924,3,0
1614036124,9,0
1614037924,8,0
1614038525,4,1
1614039124,2,0
1614039724,1,0
1614040924,2,0
1614041524,7,0
1614042124,1,0
1614042724,2,0
1614043324,4,0
1614043981,43,0
1614044524,11,0
1614045124,5,0
1614045724,4,0
1614046924,22,0
1614047581,72,0
1614048124,3,0
1614048724,8,0
1614049324,1,0
1614049924,10,0
1614050524,33,0
1614051124,2,0
1614051724,5,0
1614052924,3,0
1614053524,6,0
1614054782,1,0
1614055324,2,1
1614055924,3,0
1614056524,2,0
1614057724,17,0
1614058924,6,0
1614060124,4,0
1614060724,7,0
1614061324,2,1
1614061981,3,1
1614063724,3,0
1614064324,1,0
1614066124,3,0
1614066724,3,0
1614067924,2,0
1614068524,1,0
1614069182,0,1
1614069725,2,0
1614070324,1,1
1614070924,4,0
1614071524,3,0
1614072124,2,0
1614073324,4,0
1614074524,5,0
1614075124,1,0
1614076924,3,0
1614077524,1,0
1614078724,1,0
1614079323,2,0
1614079982,1,0
1614081724,1,0
1614082324,1,0
1614082923,3,0
1614083524,3,0
1614084124,2,0
1614084724,2,0
1614085324,12,0
1614087181,3,0
1614088324,9,0
1614088924,5,0
1614089524,1,0
1614090781,1,0
1614091924,6,1
1614092524,2,0
1614093724,1,0
1614094382,1,0
1614094924,1,0
1614096124,2,0
1614096724,2,0
1614097324,1,0
1614097981,1,0
1614098524,4,0
1614099723,4,0
1614100924,8,0
1614101524,2,0
1614102123,2,0
1614103323,1,0
1614104524,1,0
1614105124,1,0
1614105724,5,0
1614106924,3,0
1614107524,2,0
1614108782,0,1
1614109323,4,0
1614110523,1,0
1614111124,1,0
1614111724,1,0
1614112381,1,0
1614112924,3,0
1614114124,3,0
1614115324,4,0
1614115924,2,0
1614116524,5,1
1614117124,1,0
1614117724,3,0
1614118924,4,1
1614119525,5,0
1614120124,4,0
1614121324,4,0
1614122524,4,0
1614123724,7,0
1614124324,1,0
1614126124,9,0
1614127924,3,0
1614128524,8,0
1614129724,4,1
1614130381,1,0
1614130924,2,0
1614132124,4,0
1614132724,5,0
1614133324,3,0
1614133981,2,0
1614134524,1,0
1614135124,3,0
1614135724,1,0
1614136924,6,0
1614138124,2,0
1614139324,1,0
1614139924,1,0
1614141181,6,1
1614141724,1,0
1614142324,1,0
1614142924,1,0
1614143524,2,0
1614144124,1,0
1614145324,4,0
1614146525,4,0
1614147124,2,0
1614147724,1,0
1614148382,8,0
1614149524,1,0
1614150123,3,0
1614150723,2,0
1614151324,1,0
1614151982,1,0
