DateTime,AddedIPs,RemovedIPs
1613456170,73,63
1613458117,67,77
1613460006,49,78
1613461990,78,65
1613463883,52,44
1613465765,93,74
1613467692,69,37
1613469722,77,73
1613471525,52,50
1613473490,58,4229
1613475367,112,64
1613477287,1914,0
1613479237,118,185
1613481123,71,99
1613483047,69,81
1613484997,113,75
1613486884,101,42
1613488805,76,81
1613490762,144,91
1613492647,84,91
1613494563,103,84
1613496525,86,68
1613498415,97,96
1613500324,108,123
1613502294,94,58
1613504163,101,74
1613506245,113,71
1613508284,112,56
1613510164,108,76
1613512087,92,78
1613514002,91,86
1613515923,116,70
1613517878,113,46
1613519762,100,77
1613521724,1535,0
1613523619,108,86
1613525525,58,67
1613527450,67,52
1613529402,77,46
1613531287,69,38
1613533208,90,93
1613535164,77,67
1613537044,57,59
1613539002,72,71
1613540883,68,57
1613542806,55,92
1613544763,71,79
1613546654,67,59
1613548564,67,54
1613550525,59,61
1613552424,65,48
1613554389,56,74
1613556256,66,75
1613558166,64,75
1613560122,71,4284
1613562008,86,89
1613563922,1859,0
1613565897,119,119
1613567823,102,74
1613569725,82,102
1613571625,108,96
1613573560,76,77
1613575502,102,68
1613577401,78,62
1613579316,89,67
1613581332,74,76
1613583398,102,123
1613585286,111,73
1613587206,84,68
1613589159,131,64
1613591045,103,75
1613592965,119,57
1613594919,96,101
1613596800,104,80
1613598966,147,95
1613600882,128,50
1613602855,135,69
1613604727,99,70
1613606657,1526,0
1613608600,126,93
1613610484,58,41
1613612404,91,69
1613614361,77,73
1613616248,93,61
1613618166,88,54
1613620117,81,56
1613622004,84,42
1613623923,69,77
1613625751,62,59
1613627555,63,79
1613629462,90,52
1613631427,85,60
1613633326,56,60
1613635238,69,51
1613637225,57,71
1613639086,93,74
1613640999,83,87
1613642885,72,57
1613644806,66,51
1613646727,99,3990
1613648745,107,96
1613650608,1714,0
1613652500,109,90
1613654457,97,74
1613656415,115,78
1613658247,115,77
1613660229,104,70
1613662086,102,78
1613664005,108,88
1613665957,134,68
1613667896,109,63
1613669767,126,69
1613671928,106,72
1613673848,99,54
1613675816,117,82
1613677713,147,57
1613679878,130,79
1613681827,122,70
1613683687,111,55
1613685628,138,79
1613687528,126,54
1613689457,110,67
1613691372,117,98
1613693533,1370,0
1613695453,80,56
1613697405,85,68
1613699449,108,60
1613701262,76,54
1613703537,78,47
1613705566,83,78
1613707465,65,62
1613709368,96,52
1613711324,59,42
1613713223,71,52
1613715124,56,49
1613717087,65,45
1613718965,75,67
1613720885,62,49
1613722842,92,70
1613724725,77,47
1613726648,60,55
1613728602,65,64
1613730486,76,61
1613732666,61,4182
1613734605,103,97
1613736491,1959,0
1613738406,106,125
1613740330,87,69
1613742285,93,93
1613744165,107,88
1613746090,74,89
1613748005,75,62
1613749928,123,96
1613751885,98,73
1613753764,104,75
1613755688,103,86
1613757644,117,86
1613759527,94,93
1613761461,124,68
1613763404,136,60
1613765288,87,66
1613767204,100,66
1613769132,104,100
1613771047,87,69
1613773258,145,105
1613775144,94,83
1613777111,89,103
1613779058,80,98
1613780885,1623,0
1613782822,76,65
1613784767,77,53
1613786861,64,71
1613788695,75,72
1613790526,73,60
1613792566,72,62
1613794600,78,73
1613796484,77,51
1613798405,64,62
1613800409,80,67
1613802247,54,74
1613804168,66,74
1613806087,55,48
1613808020,57,58
1613810203,67,64
1613812333,74,90
1613814248,81,62
1613816203,71,83
1613818085,55,65
1613820005,56,4501
1613821964,128,121
1613823844,1878,0
1613826050,116,123
1613827968,87,82
1613829901,85,87
1613831766,81,102
1613833959,111,71
1613835911,92,89
1613837806,76,77
1613839731,104,76
1613841645,106,65
1613843542,78,70
1613845561,109,71
1613847397,84,66
1613849319,119,61
1613851260,141,82
1613853162,106,90
1613855056,151,65
1613857015,126,106
1613858909,101,59
1613860847,110,99
1613862771,107,62
1613864719,84,114
1613866764,1611,0
1613868842,121,89
1613870933,86,62
1613872880,77,77
1613874724,188,61
1613876693,53,43
1613878565,89,71
1613880732,79,62
1613882645,65,70
1613884596,75,54
1613886519,73,59
1613888404,82,49
1613890326,74,65
1613892283,40,45
1613894164,75,67
1613896118,60,80
1613898015,82,75
1613899947,60,82
1613901931,62,72
1613903804,60,75
1613905745,64,4148
1613907667,103,111
1613909553,1798,0
1613911725,125,130
1613913657,96,80
1613915600,97,67
1613917446,86,34
1613919644,122,110
1613921528,102,73
1613923489,78,71
1613925366,126,82
1613927529,131,103
1613929447,106,74
1613931396,97,74
1613933527,94,66
1613935449,106,71
1613937395,122,63
1613939562,107,70
1613941703,113,81
1613943850,112,108
1613945769,95,72
1613947720,127,70
1613949603,78,61
1613951562,131,120
1613953444,1489,0
1613955400,95,73
1613957284,72,51
1613959253,83,44
1613961135,102,44
1613963093,61,60
1613964970,111,67
1613967132,87,60
1613969047,89,70
1613970999,71,72
1613973130,91,65
1613975047,69,46
1613977002,87,63
1613978887,61,58
1613980882,77,61
1613982765,64,42
1613984655,56,58
1613986568,68,94
1613988525,59,54
1613990406,56,71
1613992328,72,4172
1613994283,63,98
1613996174,1827,0
1613998086,131,125
1614000039,107,77
1614001923,85,93
1614003880,100,58
1614005767,104,76
1614007932,111,103
1614009864,75,82
1614011919,108,78
1614013717,94,59
1614015629,108,89
1614017591,103,76
1614019461,88,59
1614021384,111,68
1614023336,100,79
1614025233,137,68
1614027143,90,78
1614029110,115,68
1614030984,111,57
1614033133,99,63
1614035137,101,79
1614036984,80,85
1614038951,1478,0
1614040895,69,102
1614042804,74,48
1614044753,83,73
1614046612,75,48
1614048665,87,55
1614050701,73,63
1614052645,72,75
1614054488,68,55
1614056421,85,56
1614058398,70,62
1614060269,61,65
1614062210,95,67
1614064103,58,45
1614066015,90,78
1614067971,56,46
1614069864,70,85
1614071781,67,53
1614073747,56,47
1614075694,91,68
1614077525,61,57
1614079481,64,4182
1614081365,128,107
1614083534,1847,0
1614085455,86,77
1614087401,111,80
1614089335,60,79
1614091206,84,91
1614093159,88,67
1614095048,78,131
1614096971,105,98
1614098917,113,95
1614100808,113,80
1614102726,104,75
1614104692,121,68
1614106614,124,86
1614108504,124,69
1614110431,103,82
1614112377,87,76
1614114272,106,59
1614116219,95,76
1614118108,96,65
1614120025,111,80
1614121976,83,56
1614123869,104,60
1614125823,1544,0
1614127981,73,80
1614129862,73,59
1614131799,87,60
1614133723,67,76
1614135615,57,53
1614137525,74,74
1614139492,52,75
1614141370,75,91
1614143327,74,60
1614145206,59,65
1614147171,69,63
1614149048,63,70
1614150968,66,72
1614152927,56,64
1614154824,76,70
1614156737,57,49
1614158687,77,57
1614160582,62,70
1614162490,64,58
1614164458,85,4194
1614166332,76,89
1614168298,1873,0
1614170170,138,107
1614172338,100,96
1614174265,79,63
1614176211,102,88
1614178090,72,79
1614180007,106,83
1614181972,91,71
1614183846,132,72
1614185767,150,111
1614187727,82,65
1614189648,101,70
1614191529,68,96
1614193543,103,69
1614195384,126,82
1614197298,108,72
1614199328,123,75
1614201137,103,68
1614203085,96,64
1614204975,106,90
1614206884,85,67
1614208876,101,93
1614210730,102,106
1614212648,1563,0
1614214858,98,72
1614216727,63,69
1614218663,79,50
1614220618,86,60
1614222493,46,74
1614224407,56,57
1614226361,81,63
1614228255,75,74
1614230168,80,65
1614232125,69,49
1614234041,47,69
1614235928,60,68
1614237888,38,56
1614239792,65,89
1614241723,62,53
1614243642,64,71
1614245527,44,66
1614247491,44,65
1614249370,52,79
1614251289,47,3953
1614253242,104,84
1614255419,1657,0
1614257286,101,69
1614259219,88,82
1614261161,69,78
1614263044,72,84
1614264971,99,58
1614266923,73,69
1614268833,61,75
1614270727,70,60
1614272688,82,80
1614274565,112,76
1614276491,100,59
1614278452,106,71
1614280323,89,58
1614282246,76,68
1614284210,91,87
1614286089,76,63
1614288015,79,91
1614289960,74,52
1614291844,80,61
1614293763,131,84
1614295722,73,68
1614297656,1403,0
1614299541,63,61
1614301490,52,43
1614303369,77,74
1614305534,54,85
1614307447,67,39
1614309400,52,54
1614311290,58,53
1614313227,73,56
1614315174,52,63
1614317049,69,50
1614318971,52,56
1614320920,67,54
1614322817,79,60
1614324754,70,50
1614326693,72,58
1614328571,65,75
1614330732,81,73
