DateTime,Entries,UniqueIPs
1613456170,8768,8768
1613458117,8758,8758
1613460006,8729,8729
1613461990,8742,8742
1613463883,8750,8750
1613465765,8769,8769
1613467692,8801,8801
1613469722,8805,8805
1613471525,8807,8807
1613473490,4636,4636
1613475367,4684,4684
1613477287,6598,6598
1613479237,6531,6531
1613481123,6503,6503
1613483047,6491,6491
1613484997,6529,6529
1613486884,6588,6588
1613488805,6583,6583
1613490762,6636,6636
1613492647,6629,6629
1613494563,6648,6648
1613496525,6666,6666
1613498415,6667,6667
1613500324,6652,6652
1613502294,6688,6688
1613504163,6715,6715
1613506245,6757,6757
1613508284,6813,6813
1613510164,6845,6845
1613512087,6859,6859
1613514002,6864,6864
1613515923,6910,6910
1613517878,6977,6977
1613519762,7000,7000
1613521724,8535,8535
1613523619,8557,8557
1613525525,8548,8548
1613527450,8563,8563
1613529402,8594,8594
1613531287,8625,8625
1613533208,8622,8622
1613535164,8632,8632
1613537044,8630,8630
1613539002,8631,8631
1613540883,8642,8642
1613542806,8605,8605
1613544763,8597,8597
1613546654,8605,8605
1613548564,8618,8618
1613550525,8616,8616
1613552424,8633,8633
1613554389,8615,8615
1613556256,8606,8606
1613558166,8595,8595
1613560122,4382,4382
1613562008,4379,4379
1613563922,6238,6238
1613565897,6238,6238
1613567823,6266,6266
1613569725,6246,6246
1613571625,6258,6258
1613573560,6257,6257
1613575502,6291,6291
1613577401,6307,6307
1613579316,6329,6329
1613581332,6327,6327
1613583398,6306,6306
1613585286,6344,6344
1613587206,6360,6360
1613589159,6427,6427
1613591045,6455,6455
1613592965,6517,6517
1613594919,6512,6512
1613596800,6536,6536
1613598966,6588,6588
1613600882,6666,6666
1613602855,6732,6732
1613604727,6761,6761
1613606657,8287,8287
1613608600,8320,8320
1613610484,8337,8337
1613612404,8359,8359
1613614361,8363,8363
1613616248,8395,8395
1613618166,8429,8429
1613620117,8454,8454
1613622004,8496,8496
1613623923,8488,8488
1613625751,8491,8491
1613627555,8475,8475
1613629462,8513,8513
1613631427,8538,8538
1613633326,8534,8534
1613635238,8552,8552
1613637225,8538,8538
1613639086,8557,8557
1613640999,8553,8553
1613642885,8568,8568
1613644806,8583,8583
1613646727,4692,4692
1613648745,4703,4703
1613650608,6417,6417
1613652500,6436,6436
1613654457,6459,6459
1613656415,6496,6496
1613658247,6534,6534
1613660229,6568,6568
1613662086,6592,6592
1613664005,6612,6612
1613665957,6678,6678
1613667896,6724,6724
1613669767,6781,6781
1613671928,6815,6815
1613673848,6860,6860
1613675816,6895,6895
1613677713,6985,6985
1613679878,7036,7036
1613681827,7088,7088
1613683687,7144,7144
1613685628,7203,7203
1613687528,7275,7275
1613689457,7318,7318
1613691372,7337,7337
1613693533,8707,8707
1613695453,8731,8731
1613697405,8748,8748
1613699449,8796,8796
1613701262,8818,8818
1613703537,8849,8849
1613705566,8854,8854
1613707465,8857,8857
1613709368,8901,8901
1613711324,8918,8918
1613713223,8937,8937
1613715124,8944,8944
1613717087,8964,8964
1613718965,8972,8972
1613720885,8985,8985
1613722842,9007,9007
1613724725,9037,9037
1613726648,9042,9042
1613728602,9043,9043
1613730486,9058,9058
1613732666,4937,4937
1613734605,4943,4943
1613736491,6902,6902
1613738406,6883,6883
1613740330,6901,6901
1613742285,6901,6901
1613744165,6920,6920
1613746090,6905,6905
1613748005,6918,6918
1613749928,6945,6945
1613751885,6970,6970
1613753764,6999,6999
1613755688,7016,7016
1613757644,7047,7047
1613759527,7048,7048
1613761461,7104,7104
1613763404,7180,7180
1613765288,7201,7201
1613767204,7235,7235
1613769132,7239,7239
1613771047,7257,7257
1613773258,7297,7297
1613775144,7308,7308
1613777111,7294,7294
1613779058,7276,7276
1613780885,8899,8899
1613782822,8910,8910
1613784767,8934,8934
1613786861,8927,8927
1613788695,8930,8930
1613790526,8943,8943
1613792566,8953,8953
1613794600,8958,8958
1613796484,8984,8984
1613798405,8986,8986
1613800409,8999,8999
1613802247,8979,8979
1613804168,8971,8971
1613806087,8978,8978
1613808020,8977,8977
1613810203,8980,8980
1613812333,8964,8964
