DateTime,AddedIPs,RemovedIPs
1607108655,11,22
1607123316,13,20
1607137926,12,23
1607152564,13,31
1607167234,21,12
1607181849,12,10
1607196490,21,16
1607211126,26,15
1607225791,17,19
1607240411,14,14
1607255055,8,15
1607269684,33,12
1607284352,10,6
1607298993,13,3
1607313638,22,4
1607328249,23,3
1607342891,15,4
1607357549,14,4
1607372193,36,2
1607386829,15,3
1607401452,40,1
1607416327,26,4
1607431236,37,6
1607445869,8,3
1607460487,24,7
1607475126,14,4
1607489795,14,2
1607504426,18,2
1607519048,47,5
1607533689,22,4
1607548324,12,4
1607562967,7,6
1607577605,4,707
1607592246,12,113
1607606885,4,1
1607621547,5,4
1607636189,17,6
1607650829,19,1
1607665445,9,4
1607680086,18,0
1607694749,29,2
1607709369,13,6
1607724016,3,5
1607738915,11,4
1607753525,14,5
1607768190,7,1
1607782804,26,2
1607797450,9,5
1607812087,26,2
1607826749,11,2
1607841387,20,4
1607856009,8,3
1607870653,6,8
1607885307,20,21
1607899925,16,23
1607914565,21,12
1607929220,14,14
1607943848,18,14
1607958530,17,16
1607973128,8,15
1607987766,20,9
1608002407,19,13
1608017060,10,19
1608031687,8,19
1608046326,13,755
1608060966,16,1072
1608075854,11,24
1608090486,8,24
1608105127,18,18
1608119770,20,18
1608134427,16,13
1608149049,14,29
1608163690,7,11
1608178326,22,15
1608192965,15,9
1608207616,22,16
1608222247,17,17
1608236888,15,20
1608251537,25,23
1608266164,27,21
1608280833,9,14
1608295449,25,22
1608310335,9,16
1608324990,7,22
1608339616,19,17
1608354247,20,16
1608368895,21,10
1608383529,18,3
1608398171,7,5
1608412806,12,4
1608427470,17,3
1608442334,26,3
1608456964,4,2
1608471607,14,3
1608486273,10,7
1608501128,21,8
1608515791,20,3
1608530435,25,4
1608545046,11,6
1608559935,25,5
1608574565,14,4
1608589229,17,9
1608603847,17,2
1608618488,22,2
1608633155,14,4
1608647767,19,3
1608662405,17,8
1608677048,6,3
1608691951,26,3
1608706564,15,3
1608721216,6,2
1608735872,16,2
1608750490,21,7
1608765128,11,6
1608779768,28,4
1608794406,17,2
1608809047,8,4
1608823689,9,1
1608838350,21,4
1608853211,24,2
1608867874,14,2
1608882484,17,3
1608897131,16,4
1608911791,16,5
1608926449,11,0
1608941047,16,5
1608955712,31,3
1608970324,13,3
1608984979,24,4
1608999634,19,2
1609014250,19,2
1609028889,20,1
1609043526,23,2
1609058167,17,1
1609072834,11,3
1609087445,16,2
1609102085,21,3
1609116725,28,5
1609131369,32,2
1609146015,21,5
1609160678,13,4
1609175286,16,3
1609189955,19,6
1609204594,27,2
1609219205,22,1
1609233857,10,4
1609248486,13,4
1609263126,8,1
1609277769,13,2
1609292405,28,1
1609307057,27,2
1609321685,23,3
1609336329,24,4
1609350995,27,5
1609365606,24,1
1609380250,18,4
1609394890,37,2
1609409554,10,2
1609424405,10,6
1609439072,12,1
1609453793,7,2
1609468325,19,2
1609482964,9,46
1609497638,23,192
1609512279,13,0
1609526887,13,0
1609541525,17,0
1609556165,25,0
