DateTime,AddedIPs,RemovedIPs
1613077203,618,709
1613079903,760,741
1613082602,987,761
1613085303,666,961
1613088002,750,771
1613090702,1085,732
1613093403,758,805
1613096102,743,803
1613098803,539,783
1613101503,637,760
1613104203,613,808
1613106903,678,746
1613109604,432,725
1613112303,462,1158
1613115002,378,687
1613117703,888,433
1613120403,452,545
1613123103,424,752
1613125803,357,872
1613128503,651,753
1613131203,706,724
1613133903,866,1160
1613136604,905,765
1613139304,573,733
1613142004,431,664
1613144703,738,562
1613147403,586,588
1613150103,345,798
1613152802,475,392
1613155503,443,499
1613158203,474,328
1613160903,423,825
1613163602,416,507
1613166303,432,528
1613169003,673,347
1613171703,508,494
1613174402,428,765
1613177102,403,830
1613179802,346,909
1613182502,334,623
1613185202,530,485
1613187902,419,610
1613190601,390,642
1613193302,357,399
1613196001,501,424
1613198702,1187,411
1613201402,479,528
1613204102,502,354
1613206802,297,442
1613209502,448,446
1613212202,452,571
1613214902,544,508
1613217602,417,481
1613220301,285,465
1613223001,295,438
1613225702,398,301
1613228402,741,478
1613231102,432,482
1613233802,484,405
1613236502,753,355
1613239201,578,455
1613241902,353,1016
1613244602,519,623
1613247303,653,462
1613250002,527,379
1613252702,592,355
1613255402,522,484
1613258102,361,463
1613260802,345,483
1613263502,447,331
1613266202,342,283
1613268902,621,342
1613271602,440,676
1613274301,441,555
1613277002,803,396
1613279702,732,690
1613282402,557,544
1613285102,407,494
1613287801,509,415
1613290502,320,643
1613293201,538,577
1613295902,518,528
1613298602,445,593
1613301302,434,471
1613304002,722,350
1613306702,449,433
1613309402,803,338
1613312102,733,485
1613314802,605,572
1613317502,614,347
1613320202,597,802
1613322902,682,715
1613325602,469,536
1613328302,506,478
1613331002,526,508
1613333702,380,408
1613336402,380,446
1613339102,226,649
1613341801,386,447
1613344502,1334,437
1613347202,1196,605
1613349902,807,595
1613352602,918,629
1613355302,1106,831
1613358002,1050,560
1613360702,1166,664
1613363402,1218,642
1613366102,998,596
1613368803,1007,572
1613371502,1173,495
1613374203,983,528
1613376903,1308,411
1613379603,1518,337
1613382303,1303,288
1613385004,1052,298
1613387704,945,991
1613390403,1396,1353
1613393103,1076,855
1613395804,1560,872
1613398504,1528,1013
1613401203,1351,1077
1613403904,1379,2818
1613406604,1351,1820
1613409304,1691,1687
1613412004,1240,1803
1613414703,1296,1817
1613417404,3042,2295
1613420104,3059,1428
1613422804,1712,1736
1613425503,767,1598
1613428203,708,878
1613430904,859,1341
