DateTime,AddedIPs,RemovedIPs
1614013925,25,23
1614015125,28,0
1614015724,21,0
1614016924,16,71
1614018124,24,32
1614019324,26,17
1614019924,25,42
1614021724,36,17
1614022324,30,12
1614022924,19,0
1614024124,17,25
1614024725,11,23
1614025324,24,0
1614025924,15,9
1614026524,20,15
1614027724,21,38
1614028924,27,13
1614029524,16,0
1614030724,20,6
1614031324,14,18
1614031925,19,11
1614032524,20,23
1614033125,9,0
1614033724,23,43
1614034924,20,14
1614036124,46,54
1614036725,17,80
1614037924,20,0
1614038525,23,17
1614039124,6,17
1614039724,6,4
1614040924,14,10
1614041524,12,12
1614042124,29,21
1614043324,28,18
1614043925,18,33
1614045124,23,0
1614045724,10,0
1614046924,32,36
1614048124,19,44
1614048724,21,0
1614049324,9,13
1614050524,26,49
1614051724,19,43
1614052324,11,0
1614052924,23,0
1614053524,12,9
1614054724,15,28
1614055924,25,28
1614056524,19,18
1614057724,26,29
1614058924,33,23
1614060124,26,36
1614060724,24,0
1614061324,22,26
1614061925,14,22
1614062524,2,27
1614063724,31,0
1614064924,19,63
1614066124,25,0
1614066724,22,19
1614067324,14,21
1614068524,10,12
1614069725,20,73
1614070924,19,12
1614071524,18,0
1614072124,19,14
1614073324,21,22
1614074524,24,26
1614075124,14,0
1614075724,20,0
1614076324,10,23
1614077524,28,4
1614078123,33,0
1614078724,15,0
1614079323,19,47
1614080523,18,53
1614081124,13,17
1614082324,25,25
1614082923,20,0
1614083524,17,14
1614084124,15,29
1614084724,11,0
1614085324,34,50
1614085924,12,0
1614087124,23,54
1614087724,17,11
1614088324,19,0
1614088924,27,13
1614089524,14,10
1614090124,7,8
1614090724,24,23
1614091924,20,23
1614092524,14,17
1614093124,6,18
1614093724,17,0
1614094924,18,40
1614096124,19,65
1614096724,17,24
1614097925,17,17
1614098524,28,0
1614099124,24,21
1614099723,17,32
1614100924,17,0
1614101524,23,25
1614102123,16,22
1614103323,23,29
1614104524,34,19
1614105124,19,37
1614105724,8,16
1614106924,27,0
1614107524,17,50
1614109323,35,33
1614109924,34,0
1614110523,20,0
1614111724,12,47
1614112924,19,50
1614113524,11,0
1614115324,29,17
1614115924,23,34
1614116524,23,0
1614117724,21,21
1614118924,29,68
1614119525,37,18
1614120124,23,20
1614120724,16,0
1614121324,23,0
1614122524,20,20
1614123724,24,67
1614124324,5,21
1614125524,37,12
1614126124,13,0
1614126724,9,22
1614127324,6,13
1614127924,28,47
1614128524,32,0
1614129724,20,16
1614130324,16,0
1614130924,15,0
1614131524,12,22
1614132724,21,36
1614133324,23,22
1614134524,21,13
1614135724,22,9
1614136924,32,29
1614138124,8,27
1614139324,11,25
1614139924,18,9
1614140524,8,0
1614141125,16,28
1614141724,22,23
1614142324,8,0
1614142924,8,19
1614143524,7,25
1614144124,8,0
1614145324,21,21
1614146525,30,29
1614147124,22,47
1614148325,25,25
1614148924,7,22
1614149524,28,0
1614150723,24,26
1614151324,11,0
1614152524,9,55
1614153123,6,9
1614153724,18,0
1614154323,16,8
1614154923,15,0
1614156124,14,11
1614156724,17,10
1614157323,29,0
1614158524,18,32
1614159724,9,34
1614160924,13,0
1614161524,7,40
1614162124,2,18
1614163324,18,0
1614164524,20,51
1614165724,25,75
1614166325,32,16
1614166923,33,0
1614167524,18,14
1614168124,9,39
1614169324,33,23
1614169924,40,26
1614170524,17,0
1614171724,18,33
1614172924,15,38
1614173525,23,0
1614174124,26,13
1614174724,35,22
1614175324,18,38
1614175924,9,10
1614176524,21,20
1614177724,20,46
1614178924,26,16
1614180124,26,25
1614181324,20,0
1614181924,40,9
1614183124,42,11
1614183725,17,6
1614184324,11,0
1614184924,20,15
1614186124,17,52
1614186724,13,10
1614187324,25,0
1614187924,10,15
1614188525,9,80
1614189124,9,0
1614189724,25,27
1614190325,7,0
1614190924,23,0
1614192124,21,34
1614193325,25,47
1614193924,31,0
1614194524,43,0
1614195124,30,45
1614195724,24,16
1614196924,22,27
1614198124,23,19
1614199324,40,27
1614199924,18,10
1614200525,31,14
1614201124,20,0
1614201724,12,0
1614202925,31,76
1614203525,18,0
1614204124,25,13
1614205324,23,45
1614205924,21,18
1614207725,17,75
1614208324,18,0
1614208924,22,16
1614210125,23,0
1614211324,28,27
1614212524,33,32
1614213725,19,4
1614214325,20,18
1614215524,35,22
1614216124,18,30
1614217324,27,29
1614218524,33,45
1614220324,20,48
1614220924,20,0
1614222125,26,17
1614222724,23,59
1614223324,30,0
1614223925,15,19
1614224524,27,0
1614225725,29,23
1614226324,4,11
1614226924,20,0
1614228125,24,17
1614228725,13,33
1614229324,17,13
1614230524,21,14
1614231724,28,23
1614232924,28,65
1614234124,31,37
1614234724,14,0
1614235924,19,28
1614236524,9,27
1614237124,27,0
1614237725,16,30
1614238925,14,0
1614239525,15,1
1614240125,6,34
1614240724,14,44
1614241325,17,0
1614241925,35,13
1614242524,21,0
1614243724,21,45
1614244324,18,22
1614244924,9,0
1614245525,18,17
1614246124,25,13
1614247324,37,0
1614247925,14,5
1614248525,32,6
1614249124,13,36
1614249724,14,0
1614250924,23,43
1614251525,21,15
1614252725,31,20
1614253324,22,29
1614254524,31,3
1614255724,32,38
1614256324,28,0
1614256924,19,33
1614257524,11,15
1614258124,11,18
1614258724,9,0
1614259324,20,0
1614260524,22,73
1614261724,25,60
1614262924,24,51
1614264124,22,13
1614265324,16,10
1614265924,9,30
1614266524,15,0
1614267724,15,58
1614268924,33,0
1614269524,27,72
1614270124,27,11
1614270724,22,37
1614271924,30,0
1614273124,21,14
1614273724,14,16
1614274924,32,53
1614276124,30,10
1614277324,25,60
1614277924,23,30
1614279124,31,0
1614279724,19,59
1614280324,32,37
1614281524,22,32
1614282724,20,19
1614283324,27,21
1614283923,33,0
1614284524,18,0
1614285125,25,25
1614285724,21,0
1614286924,36,49
1614288124,23,73
1614288724,11,0
1614289324,29,21
1614290524,22,27
1614291124,34,0
1614292325,28,74
1614292924,32,0
1614294124,18,0
1614295325,13,69
1614295925,6,0
1614296524,12,0
1614297724,9,23
1614298324,6,0
1614298924,9,0
1614300124,31,51
1614301324,29,27
1614301925,14,52
1614303125,15,0
1614303724,7,15
1614304324,4,0
