DateTime,AddedIPs,RemovedIPs
1613881925,3,0
1613883124,3,1
1613884924,6,0
1613885524,2,0
1613886124,1,0
1613888524,3,0
1613889724,2,1
1613893324,1,5
1613894524,9,27
1613895124,0,9
1613895724,0,4
1613896924,4,2
1613898124,1,0
1613899324,73,0
1613900525,2,1
1613901724,2,4
1613902325,1,0
1613904124,5,2
1613905924,2,2
1613906523,2,0
1613907724,1,0
1613908324,1,0
1613910124,2,0
1613910724,3,2
1613911324,1,3
1613914324,4,6
1613916124,2,0
1613916724,0,1
1613917324,0,2
1613918524,6,1
1613920324,1,0
1613921524,1,1
1613922724,2,0
1613923324,1,2
1613923924,4,0
1613925124,2,1
1613925724,4,2
1613926324,1,0
1613928724,1,1
1613929324,2,1
1613931124,0,3
1613931724,1,0
1613933523,5,1
1613935324,2,0
1613937123,0,1
1613938324,1,1
1613939524,0,1
1613940724,8,0
1613941923,1,3
1613943124,0,2
1613944324,2,2
1613945524,6,0
1613946124,1,0
1613947324,2,1
1613948524,3,0
1613949124,1,2
1613949724,0,2
1613950924,1,2
1613951524,0,8
1613952724,3,0
1613953924,1,3
1613956324,3,0
1613957524,0,2
1613958124,1,1
1613959324,1,0
1613960524,0,4
1613961724,1,1
1613962924,2,1
1613964124,3,4
1613965324,2,1
1613966524,1,2
1613967724,0,3
1613970124,1,0
1613971324,0,1
1613971924,0,5
1613973124,3,0
1613973724,0,2
1613974324,0,3
1613975525,2,0
1613976724,1,0
1613977924,2,2
1613979124,4,3
1613980324,3,2
1613981524,1,0
1613982123,2,5
1613983324,1,0
1613984524,2,0
1613985124,1,4
1613986924,8,2
1613987524,1,0
1613988124,0,3
1613989324,21,2
1613990524,0,1
1613991723,2,3
1613992924,0,1
1613994723,0,2
1613995324,0,2
1613997723,1,0
1613999524,2,1
1614000124,0,3
1614002524,0,6
1614003124,2,0
1614003724,2,0
1614004924,5,3
1614005524,1,5
1614006724,1,1
1614008524,9,2
1614009724,7,10
1614012124,1,1
1614013324,3,2
1614013925,0,2
1614015724,0,1
1614016924,2,0
1614018124,2,2
1614018724,0,1
1614019324,2,1
1614020524,2,0
1614021724,0,2
1614023524,0,1
1614024124,1,0
1614027124,0,3
1614027724,1,0
1614028324,6,0
1614028924,2,3
1614030124,1,1
1614030724,0,3
1614031324,1,0
1614032524,3,4
1614033125,0,1
1614034924,1,0
1614036124,1,2
1614036725,2,0
1614037924,2,4
1614039124,0,6
1614041524,8,19
1614042724,2,0
1614043925,44,1
1614044524,11,5
1614045124,1,0
1614046324,14,1
1614046924,73,0
1614048124,1,3
1614048724,8,0
1614049924,10,1
1614050524,48,0
1614051124,2,0
1614051724,5,1
1614052923,6,0
1614053524,0,8
1614055324,5,2
1614056524,10,3
1614057124,6,4
1614058924,6,2
1614059524,5,4
1614060724,4,0
1614061925,3,5
1614063724,2,1
1614064324,2,1
1614064924,2,0
1614066124,2,4
1614067924,2,4
1614069125,0,6
1614070324,3,0
1614070924,1,5
1614071524,3,4
1614072124,3,1
1614073324,5,3
1614074524,3,3
1614075724,0,1
1614076924,3,4
1614078123,0,1
1614079323,1,0
1614081724,0,1
1614082923,2,3
1614083524,0,5
1614084724,13,0
1614085924,0,1
1614087723,11,0
1614088924,4,2
1614089524,0,2
1614090724,2,0
1614091924,4,1
1614093124,1,2
1614094324,1,0
1614094924,0,2
1614096124,2,3
1614097324,3,2
1614097925,2,0
1614098524,2,1
1614099123,0,1
1614099723,2,1
1614100924,5,0
1614102724,0,3
1614105124,8,3
1614107524,3,0
1614108124,0,43
1614109323,1,24
1614111124,1,1
1614112324,1,7
1614112924,1,6
1614114124,3,0
1614115324,2,1
1614115924,1,2
1614117124,2,4
1614118324,1,4
1614118924,1,1
1614119525,1,0
1614120124,2,0
1614121324,0,2
1614121924,2,3
1614123125,2,0
1614124324,1,6
1614124924,1,0
1614127324,3,6
1614128524,4,0
1614129724,6,5
1614131524,1,3
1614132124,2,1
1614132724,4,0
1614133324,2,3
1614134524,2,1
1614135124,2,0
1614135724,1,0
1614136924,2,0
