DateTime,AddedIPs,RemovedIPs
1613982123,28,28
1613983324,52,52
1613984524,41,41
1613985124,12,12
1613986924,37,37
1613987524,15,15
1613988124,13,13
1613989324,56,56
1613990524,19,19
1613991723,35,35
1613992324,6,6
1613992924,9,9
1613994124,10,10
1613994723,11,11
1613995324,11,11
1613996524,12,12
1613997723,15,15
1613998324,8,8
1613999524,20,20
1614000124,10,10
1614000724,22,22
1614001324,15,15
1614002524,45,45
1614003124,25,25
1614003724,28,28
1614004924,30,30
1614005524,25,25
1614006724,37,37
1614008524,64,64
1614009724,84,84
1614010324,29,29
1614012124,69,69
1614013324,52,52
1614013925,11,11
1614014525,13,13
1614015724,44,44
1614016924,49,49
1614018124,47,47
1614018724,31,31
1614019324,24,24
1614020524,36,36
1614021724,51,51
1614022924,50,50
1614023524,14,14
1614024124,30,30
1614024725,11,11
1614025324,23,23
1614025924,7,7
1614027124,38,38
1614027724,11,11
1614028324,28,28
1614028924,23,23
1614029524,31,31
1614030124,26,26
1614030724,9,9
1614031324,35,35
1614032524,34,34
1614033125,20,20
1614033724,13,13
1614034924,34,34
1614036124,39,39
1614036725,46,46
1614037924,39,39
1614038525,16,16
1614039124,36,36
1614040324,43,43
1614041524,82,82
1614042724,17,17
1614043925,86,86
1614044524,34,34
1614045124,50,50
1614046324,69,69
1614046924,100,100
1614048124,55,55
1614048724,69,69
1614049924,69,69
1614050524,86,86
1614051124,43,43
1614051724,37,37
1614052923,68,68
1614053524,20,20
1614055324,63,63
1614056524,86,86
1614057124,59,59
1614058924,76,76
1614059524,31,31
1614060724,86,86
1614061925,73,73
1614062523,16,16
1614063724,65,65
1614064324,63,63
1614064924,19,19
1614066124,53,53
1614066724,29,29
1614067924,51,51
1614069125,48,48
1614070324,79,79
1614070924,45,45
1614071524,33,33
1614072124,42,42
1614073324,76,76
1614074524,42,42
1614075124,46,46
1614075724,4,4
1614076924,61,61
1614078123,22,22
1614078724,11,11
1614079323,12,12
1614080523,11,11
1614081724,10,10
1614082923,34,34
1614083524,6,6
1614084724,41,41
1614085324,15,15
1614085924,10,10
1614087723,55,55
1614088924,28,28
1614089524,6,6
1614090724,23,23
1614091924,45,45
1614093124,27,27
1614094324,61,61
1614094924,4,4
1614096124,32,32
1614097324,84,84
1614097925,39,39
1614098524,39,39
1614099123,29,29
1614099723,17,17
1614100924,39,39
1614101524,12,12
1614102724,27,27
1614103323,10,10
1614105124,48,48
1614106324,22,22
1614107524,59,59
1614108124,24,24
1614109323,51,51
1614111124,53,53
1614112324,39,39
1614112924,39,39
1614114124,60,60
1614115324,69,69
1614115924,37,37
1614116524,50,50
1614117124,25,25
1614118324,56,56
1614118924,24,24
1614119525,24,24
1614120124,59,59
1614120724,37,37
1614121324,16,16
1614121924,32,32
1614122524,22,22
1614123125,45,45
1614124324,36,36
1614124924,10,10
1614125524,52,52
1614127324,77,77
1614128524,78,78
1614129724,73,73
1614130324,39,39
1614131524,66,66
1614132124,18,18
1614132724,45,45
1614133324,40,40
1614134524,71,71
1614135124,54,54
1614135724,37,37
1614136924,57,57
1614137525,31,31
1614138124,12,12
1614139324,62,62
1614139924,7,7
1614141125,74,74
1614141724,32,32
1614142324,9,9
1614142924,41,41
1614143524,36,36
