DateTime,AddedIPs,RemovedIPs
1609192073,1,0
1609201258,3,0
1609215034,1,0
1609219766,1,0
1609228946,1,0
1609247494,3,0
1609256990,3,0
1609266498,3,0
1609271208,1,0
1609275960,2,0
1609280566,1,0
1609285171,4,0
1609294528,1,0
1609299170,1,0
1609313097,2,0
1609322528,1,0
1609340826,1,0
1609350076,1,0
1609354668,2,0
1609365822,2,0
1609382344,1,0
1609389210,1,0
1609398470,1,0
1609407733,2,0
1609412339,1,0
1609421980,1,0
1609428999,3,0
1609433634,1,0
1609442859,1,0
1609456990,1,0
1609461615,1,0
1609479949,1,0
1609484621,1,0
1609511546,1,0
1609520880,1,0
1609530168,1,0
1609539599,3,0
1609548977,2,0
1609568215,2,0
1609572852,3,0
1609582320,2,0
1609591892,1,0
1609601358,2,0
1609610777,1,0
1609620162,1,0
1609624860,2,0
1609633018,6,0
1609654032,3,0
1609666026,1,0
1609670758,2,0
1609679683,1,0
1609689080,3,0
1609698769,2,0
1609708178,1,0
1609713128,1,0
1609722550,1,0
1609727257,1,0
1609731972,2,0
1609741405,2,0
1609760907,2,0
1609775294,2,0
1609798835,2,0
1609808418,1,0
1609817876,2,0
1609827467,4,0
1609853688,1,0
1609858182,1,0
1609862919,1,0
1609867698,1,0
1609872417,1,0
1609881852,2,0
1609886556,1,0
1609890456,4,0
1609895198,1,0
1609899928,17,0
1609904698,2,0
1609926043,1,0
1609934482,3,0
1609943921,2,0
1609953356,1,0
1609958204,1,0
1609962938,3,0
1609991114,3,0
1610005371,43,0
1610010102,5,0
1610039380,0,41
1610044237,1,885
1610058452,2,0
1610067821,1,0
1610082000,1,0
1610086836,1,0
1610096471,1,0
1610110958,1,0
1610115786,1,0
1610125438,1,0
1610135143,1,0
1610140002,1,0
1610144864,1,0
1610154589,7,0
1610164748,3,0
1610174453,5,0
1610184293,3,0
1610203728,2,0
1610233052,2,0
1610237929,1,0
1610247009,2,0
1610256765,1,0
1610266560,1,0
1610271406,1,0
1610280937,1,0
1610290679,1,0
1610300371,1,0
1610314645,0,55
1610323274,1,0
1610337705,3,0
1610347448,3,0
1610357112,1,0
1610369208,5,0
1610378911,1,0
1610398295,1,0
1610417745,1,0
1610422699,4,0
1610432402,3,0
1610440032,1,0
1610446878,2,0
1610450724,1,0
1610458013,2,0
1610486128,2,0
1610495585,2,0
1610505108,1,0
1610523826,2,0
1610533106,1,0
1610541915,2,0
1610546384,2,0
1610555172,1,0
1610559837,1,0
1610564637,8,0
1610569284,1,0
1610573824,1,0
1610578460,1,0
1610587640,2,0
1610605977,2,0
1610615185,1,0
1610623854,2,0
1610633007,2,0
1610656026,1,0
1610660838,2,0
1610665371,1,0
1610683607,2,0
1610692733,2,0
1610711158,1,0
1610720448,1,0
1610729585,1,0
1610738688,1,0
1610750331,2,0
1610782549,2,0
1610791609,3,0
1610912730,17,0
1610922331,1,0
1610934437,1,0
1610946255,4,0
1610951064,2,0
1610955720,1,0
1610960414,2,0
1610972234,2,0
1610981691,1,0
1610991264,1,0
1611003142,1,0
1611012616,1,0
