DateTime,AddedIPs,RemovedIPs
1612100414,0,1
1612107182,2,2
1612114381,1,1
1612117982,1,5
1612121582,0,4
1612125181,1,0
1612128781,1,4
1612135982,0,1
1612139582,0,1
1612143182,1,0
1612146781,1,1
1612150381,1,0
1612153981,0,6
1612157581,0,2
1612161181,2,3
1612164782,1,5
1612171981,0,3
1612175581,1,3
1612179181,0,1
1612182781,1,3
1612186381,0,7
1612189981,5,0
1612193581,3,5
1612197182,3,0
1612200781,0,5
1612207981,0,1
1612211581,1,1
1612215181,1,0
1612218782,1,3
1612222381,3,0
1612225981,0,3
1612229581,1,3
1612233181,1,0
1612236781,2,0
1612240382,1,1
1612243982,1,0
1612247581,1,0
1612251182,1,0
1612254781,2,6
1612258381,1,0
1612261981,1,3
1612265581,1,0
1612269181,2,1
1612276381,1,1
1612279981,0,7
1612283581,1,0
1612287182,2,5
1612290781,2,2
1612294381,1,3
1612297981,1,0
1612301582,0,2
1612308781,0,1
1612312381,2,0
1612315982,0,2
1612319582,1,1
1612323182,1,0
1612330381,0,2
1612333982,4,0
1612337581,1,2
1612341181,3,1
1612344782,2,5
1612348381,0,3
1612351982,1,0
1612359182,2,0
1612362781,1,0
1612366381,0,4
1612369981,1,1
1612373581,2,0
1612377181,1,0
1612380781,0,4
1612384381,1,0
1612387981,0,2
1612391581,0,2
1612395181,1,0
1612402382,0,2
1612405981,0,1
1612409581,0,2
1612413182,2,0
1612416781,0,2
1612420381,3,7
1612423981,1,1
1612427581,2,3
1612431181,3,1
1612434781,1,1
1612438381,2,3
1612441982,1,0
1612445581,2,2
1612449181,1,5
1612452782,2,1
1612456382,2,1
1612463581,2,2
1612467182,0,3
1612470781,1,0
1612481581,2,1
1612485182,2,0
1612488781,1,0
1612492381,2,1
1612495982,1,0
1612499581,1,0
1612503181,0,1
1612506782,0,1
1612510381,2,0
1612513982,0,1
1612517582,4,1
1612521181,1,2
1612524781,0,2
1612528381,1,4
1612531982,0,3
1612539182,0,3
1612549982,2,0
1612557181,3,1
1612564381,0,1
1612567982,2,0
1612575181,1,1
1612585981,1,0
1612593181,0,1
1612596782,1,1
1612600385,0,1
1612603981,1,1
1612611182,0,1
1612618381,0,1
1612625581,2,0
1612629181,1,0
1612632781,0,2
1612636381,2,0
1612639981,2,1
1612643582,1,3
1612647182,2,0
1612657981,1,0
1612661581,2,0
1612665181,1,0
1612668781,0,2
1612672381,1,1
1612675981,2,0
1612679582,2,0
1612683181,1,0
1612690382,2,0
1612697581,1,1
1612701181,0,2
1612704781,0,2
1612708382,1,1
1612711982,1,1
1612715581,0,1
1612722781,0,2
1612726381,2,3
1612729981,3,1
1612737181,1,2
1612744381,5,1
1612747981,1,1
1612755181,2,0
1612762382,0,1
1612765981,1,0
1612769581,0,1
1612773181,0,3
1612776782,1,0
1612780381,5,2
1612783981,3,1
1612787582,1,0
1612794781,2,1
1612798381,3,2
1612801981,0,5
1612805581,2,1
1612809182,1,0
1612812781,1,1
1612819981,1,1
1612823581,1,0
1612827621,1,0
1612830782,1,3
1612837981,2,0
1612841581,0,4
1612848782,2,0
1612852381,0,3
1612859582,0,2
1612863182,0,1
1612873981,1,0
1612877581,1,1
1612881182,1,3
1612888381,0,5
1612891982,1,2
1612895582,1,0
1612899182,0,1
1612902781,2,3
1612909981,1,0
1612913581,1,0
1612920781,0,2
1612924381,1,0
1612927981,0,2
1612931581,1,1
1612935182,0,3
1612938781,2,0
1612942382,0,4
1612945981,3,2
1612949582,0,2
1612953182,1,0
1612960382,1,0
1612967581,1,0
1612971181,2,3
1612978381,0,2
1612981982,1,1
1612985581,2,0
1612989181,2,2
1612992782,1,1
1612996382,1,0
1613003581,0,1
1613007182,1,2
1613010781,0,1
1613014381,1,5
1613017981,1,1
1613021581,2,1
1613028781,0,5
1613032381,0,2
1613035981,1,5
1613046782,2,3
1613050381,1,1
1613053981,3,1
1613057581,0,3
1613061181,5,0
1613064781,4,0
1613068381,2,2
1613071981,1,0
1613079181,2,0
1613082782,4,0
1613089981,0,1
1613093581,2,4
1613097181,2,0
1613104381,1,1
1613107981,1,0
1613111581,1,2
1613118782,0,1
1613122382,0,1
1613129581,1,3
1613136781,0,1
1613140381,0,3
1613143981,1,0
1613147581,1,3
1613154781,0,1
1613161981,1,2
1613165581,2,1
1613169181,2,0
1613172781,1,2
1613176381,2,0
1613179981,1,0
1613187181,1,0
1613194381,0,3
1613197981,1,1
1613205181,0,2
1613208782,1,0
1613212381,2,1
1613219581,1,1
1613223181,1,0
1613226781,0,2
1613230382,1,1
1613233981,0,1
1613241181,1,1
1613244781,1,0
1613248381,0,4
1613259181,1,0
1613262782,0,1
1613266381,1,0
1613269981,0,3
1613273582,1,1
1613277181,1,0
1613280781,0,5
1613284381,2,0
1613287981,0,1
1613291581,1,0
1613295181,0,1
1613298782,2,0
1613302381,0,2
1613305981,2,0
1613309581,3,0
1613316782,0,1
1613323982,4,2
1613327581,5,3
1613331181,0,2
1613334781,1,0
1613338382,1,0
1613341981,1,4
1613349182,2,2
1613356381,1,0
1613359982,1,3
1613363582,0,1
1613367182,1,0
1613374381,1,1
1613381582,0,3
1613385182,0,1
1613388782,0,4
1613392382,0,1
1613399581,1,0
1613403181,0,6
1613406782,0,2
1613410381,1,0
1613413982,0,2
1613417581,0,3
1613421182,1,0
1613428382,1,0
1613439182,0,2
1613442782,0,1
1613449981,1,0
1613453581,0,1
1613475181,1,1
1613482381,0,1
1613485981,0,2
1613489581,2,0
1613493181,2,1
1613500382,0,2
1613503981,1,0
1613511181,0,4
1613514781,3,2
1613521981,0,3
1613532781,1,0
1613536381,0,1
1613543581,1,1
1613550781,2,1
1613554382,1,1
1613557981,2,0
1613561582,0,1
1613568782,2,0
1613572382,2,0
1613583181,1,1
1613586781,0,4
1613590381,2,0
1613593981,1,3
